,Entinostat,Mocetinostat,Romidepsin,Tacedinaline,Tucidinostat,Domatinostat,Pracinostat,Quisinostat,Vorinostat,AR-42,Belinostat,Citarinostat,Fimepinostat,Ricolinostat,Panobinostat,Givinostat,Tasquinimod,Nexturastat A,ACY738,Tubastatin A,Trichostatin-A,PCI-34051,ACY775,Selisistat,SRT2104,AZD-6482,AZD-8186,Copanlisib,Dactolisib,BGT-226,Buparlisib,Alpelisib,Idelalisib,Apitolisib,GSK-1059615,Omipalisib,GSK-2636771,PF-04691502,TG-100-115,Pilaralisib,Voxtalisib,AZD-8055,Onatasertib,Everolimus,GDC-0349,Rapamycin,Temsirolimus,AZD-5438,SNS-032,Seliciclib,HMN-214,Alvocidib,Ribociclib,Rigosertib,Riviciclib,Palbociclib,PHA-793887,Milciclib,R-547,RGB-286638,Dinaciclib,Zotiraciclib,Cerdulatinib,Fostamatinib (Free Base),Fostamatinib,TAK-659,Abemaciclib,Brigatinib,Crizotinib,Dabrafenib,Dasatinib,Nintedanib,Sunitinib,Staurosporine,Tofacitinib,Decernotinib,Baricitinib,Binimetinib,Selumetinib,Ravoxertinib,Trametinib,Ulixertinib,AMG-900,MK-5108,MLN-8054,SNS-314,(+)-JQ-1,Bromosporine,Molibresib,Apabetalone,Geldanamycin,Tanespimycin,Paclitaxel,CHM-1,Nocodazole,Colchicine,GSK2879552,Iadademstat,Tranylcypromine,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat,5-Azacytidine,Decitabine,5-Fluoro-2'-deoxycytidine,Gemcitabine,Methotrexate,Actinomycin D,5-Fluorouracil,Pemetrexed,Cisplatin,Carboplatin,Oxaliplatin,Ixazomib,MG-132,Carfilzomib,Bortezomib,PJ34,Olaparib,Talazoparib,Rucaparib,Niraparib,Veliparib,Thalidomide,VHL ligand 1,Nutlin-3,Serdemetan,VH298,Iberdomide,Lenalidomide,Pomalidomide,Doxorubicin,Cyclophosphamide,Vincristine,Prednisone,CHDI00465983,CHDI00390576,TMP195,TMP269,NFAT activation inhibitor III,Cyclosporin A,LMK235
Entinostat,1.0000000000000016,0.9870923006650789,0.9865640077459646,0.9868647048269314,0.9873050654507795,0.9746964401229422,0.9864910704012446,0.9956198048728617,0.9868508601748137,0.986599048073578,0.9864724636065901,0.9993352518803463,0.9828900351387434,0.999261375281009,0.9980364809027503,0.9871759012994971,0.9992021694642674,0.9958568279732744,0.9989876048334823,0.9882521875913253,0.999175912521119,0.9864997617692339,0.9861090657237832,0.9992437593350846,0.9745151312878281,0.9991414593046515,0.9742680935720897,0.9746689673186036,0.9843899195079617,0.988262126821043,0.9992991447861052,0.9880195024989545,0.9796186104739675,0.9746921880998343,0.9958612729394803,0.9739484360129693,0.9868623246733013,0.995854689485629,0.9958490693800489,0.9991235655034655,0.9865226829814905,0.9865496386405553,0.9860655824888426,0.9744728232306169,0.9872769148205018,0.9867442680089481,0.983751153630946,0.9870015690600453,0.985185692638549,0.9868529476309313,0.9951284412633483,0.9845905560162053,0.9744708995658713,0.9865967926986906,0.987013075224607,0.9746698473672383,0.9846796474191403,0.9872977072804235,0.9870102584277226,0.9674952732335832,0.9869970170585588,0.9859722861412265,0.986870822334059,0.995846696612129,0.9879965476544353,0.9739243511992128,0.9880468849235382,0.9870011658518489,0.9864833026497842,0.9842522795166876,0.986550879030958,0.9883033728610028,0.9868784630736491,0.9740711213908635,0.9882239937855183,0.9958387639880166,0.9880467515373391,0.9991914716234882,0.9802079336409022,0.9858294284096077,0.9958047178359398,0.9851771011444211,0.9880165940199058,0.9860905279614318,0.9868617816889829,0.9868652566129978,0.9952660532442277,0.9868389535736647,0.9879727953497585,0.986511420641463,0.9868452060853613,0.9882132043809244,0.9955938220774574,0.9882887188888677,0.9872858637011258,0.9923990551728178,0.9864448701612436,0.9984800680972913,0.9954021588797227,0.9745414949476452,0.9880046191220921,0.9868599366889882,0.9851873680914187,0.9862597227104488,0.987071548565765,0.9864851676576505,0.987298576116899,0.9871283404161743,0.9986393288522406,0.995611263263468,0.9879870008237576,0.97458664355061,0.9869096628445547,0.997713751911854,0.9864828459294429,0.983184436137408,0.9958234468137326,0.9991507606796476,0.9880701157210187,0.995867922832619,0.9746804600999704,0.9864513661594188,0.9868640223270073,0.9868690368319166,0.9867645145932132,0.987781343879082,0.9862056177834773,0.9865722244747227,0.9992095736764783,0.9958513226000687,0.987534531554562,0.9867988060986679,0.9861529924538122,0.9746410771115391,0.9951022372941021,0.9850881191743641,0.9958679995651116,0.974686931862461,0.9866088568138446,0.9868453126127699,0.9746365930935463,0.9869271694790593,0.9868680215099314,0.9851888796242153
Mocetinostat,0.9870923006650789,1.0000000000000047,0.9858705157119555,0.9943189073726117,0.9998164290242731,0.975175245871881,0.9858201892775964,0.9900699316582945,0.9943048274497691,0.975499106830892,0.9857896992302253,0.9877170886745578,0.995228999142662,0.9876976417136646,0.986501442219347,0.9997005267475214,0.9875860808981699,0.9903086204251221,0.9873346979783839,0.9849047809741991,0.9876128468208148,0.9754369440683665,0.9750171295702069,0.9876266376384341,0.9750096402611229,0.9874258840614493,0.9748263054157554,0.9751516410309028,0.9963444998799319,0.9849081240357446,0.9876763257334,0.9846518301260785,0.9932690974438912,0.9751718624926191,0.9903073068341215,0.9746132893324974,0.9943165499596847,0.9903036621320835,0.9902963219123291,0.9875692293923782,0.9754143461766965,0.9754593108381217,0.9935601785738644,0.9749691688942907,0.9997297937711739,0.9860660393113259,0.9966590804942944,0.9863131733527047,0.9976714753562687,0.9942820348964756,0.9896419974943504,0.9734424085202591,0.9750786993084409,0.975500152757787,0.9863137088247925,0.9751550353705226,0.9823087862197648,0.9998046909126915,0.9863147022410124,0.9689958784462869,0.9863009204034001,0.9748383499330516,0.9943236942746664,0.990299607014679,0.9846381928303014,0.9743826236992617,0.9846658262330509,0.9863119232706503,0.9858027804210278,0.9730480200086904,0.9755297549322896,0.9849329594844409,0.9943282976134294,0.9745931567717033,0.9848584028196442,0.990293616852755,0.9846806100983142,0.9875638375515983,0.9723695694793806,0.9853414625712988,0.9902526353964214,0.9976648711875459,0.9846554110856534,0.9856017147724645,0.9943117361952383,0.994315784298053,0.9896113936825207,0.9943029752332606,0.9846133167087351,0.9939975234097499,0.9943008224650163,0.9848455096038785,0.9900529337042397,0.9849364281915373,0.999799267361671,0.9834309197224953,0.9753763628347156,0.9869018116818387,0.9897968310814602,0.9750561477958272,0.9846444884384555,0.9943159675875257,0.9976727818359324,0.9855860283588379,0.9861202919930431,0.9754153406585155,0.9998057937827576,0.9996673600684784,0.9870483273521894,0.9900601202608739,0.984647468001354,0.9750653843498646,0.9862184573013775,0.9865721310947281,0.9857886791453903,0.9899704068913253,0.990274168201302,0.9875223937820334,0.9847042396540435,0.9903130627156412,0.9751644692230076,0.9754011078921195,0.9943142354032529,0.9943231537446658,0.9942097272793077,0.9844711898033999,0.9751666555884352,0.9754785691475963,0.9875727468601077,0.9903011682962606,0.9843767482411161,0.9942472491101647,0.9854874788157689,0.9751271619673075,0.9896156929179675,0.9744891921665554,0.9903170019101231,0.975166257054503,0.9755095572991562,0.9992860310723449,0.9751163455604795,0.9862406280477373,0.9943210402963585,0.9976701375801631
Romidepsin,0.9865640077459646,0.9858705157119555,0.9999999999999997,0.9815479696686233,0.9860802616859522,0.9491459140936648,0.9999356950982796,0.9843659870711567,0.9815393540152356,0.9608913969893856,0.9999253145723762,0.9869347315311368,0.9821072671391432,0.9869434277112787,0.9859675457205992,0.9859889603529871,0.9868469353506998,0.9846027320566639,0.9866557409837741,0.9971477749259642,0.9868254804092368,0.9607776119201611,0.9606470172972439,0.9868605214603344,0.9490493745420103,0.9866831462671907,0.9488560690089776,0.9491285732432261,0.983407449510012,0.9971732856688118,0.9868810127272157,0.9969135413851209,0.9810358848709891,0.9491429052636978,0.9844591442327743,0.9485283134496346,0.9815502467544974,0.9845988017817934,0.9844569110919587,0.9868017931019262,0.9608303604517241,0.9608561973012717,0.9809583578235945,0.9489737995017864,0.9860486200254811,0.9993984354195196,0.9829629828094104,0.9995413087835271,0.9839649054287765,0.9815565833586067,0.9839428273626877,0.9593455376345842,0.9490550885249727,0.9608906619516658,0.9995427833323811,0.9491341442954173,0.9926985253546791,0.9861527940260498,0.99954436813607,0.9443997409511655,0.9995355452185578,0.9602962124614646,0.9815558779883128,0.9845972353561151,0.9968880378291978,0.9484413604473749,0.9968744898512663,0.9995408211557416,0.9999127365408326,0.9586353908863741,0.9609159119537038,0.9971933323694628,0.9815543930336158,0.9485597768844604,0.9971298755584107,0.9844534247823923,0.9969260811496281,0.9868182012899688,0.9584174933418319,0.9986872366598419,0.9845652496770744,0.9839591337750445,0.9969081071802836,0.9987073731095867,0.9815464226383314,0.9815491658006703,0.9838393985463932,0.9815366662182993,0.9968773156802989,0.9814393403369108,0.9815271894962699,0.9971162439779666,0.9841889439753891,0.9971831464619265,0.9860621507942093,0.9832487754688959,0.9608229983888447,0.9862209534509189,0.9840246073407316,0.9490480829071356,0.9969027189905099,0.9815459006581781,0.9839646071188484,0.9998253897739364,0.9994060638352503,0.9608229646351053,0.9860718064042856,0.9859628779217612,0.9863695285118053,0.984216471110215,0.996869030838956,0.9490899277005211,0.9994819560471959,0.985689439806801,0.9999156672566478,0.980436935237561,0.9844224390525038,0.986749489173814,0.9969072347660305,0.9844612187526081,0.9491348878541201,0.9607985904373885,0.9815497463664224,0.9815560964550524,0.9814648990413146,0.9967804977347703,0.9602556152818814,0.9608697615618441,0.9867997101634957,0.9845951713982208,0.996674753662113,0.9814772838143746,0.9988153344889592,0.9490988235670182,0.9836378904423301,0.9598524161344374,0.9844650967328876,0.9491391232802303,0.9608977632203033,0.9857441577270828,0.9490895092869185,0.9994746086179228,0.9815535638584211,0.9839633700657892
Tacedinaline,0.9868647048269314,0.9943189073726117,0.9815479696686233,1.0000000000000009,0.9945011301928913,0.9751737499401777,0.9814941597826534,0.9883225447895134,0.9999683298997996,0.9753673798872179,0.9814576486940573,0.9874789574852053,0.9898558642841088,0.9874613768358931,0.9862422158602248,0.9943784301230391,0.9873399027849669,0.9885593802186516,0.9870737185433699,0.9799355414592531,0.9873763294858295,0.975305509571481,0.9748211450909525,0.9873918375172576,0.9749933845359973,0.9872390971923878,0.9747943085404822,0.9751434772202526,0.9913837880637377,0.9799371352982725,0.9874375266944105,0.9796854677388572,0.9877828702764071,0.9751694061856734,0.9885614786289968,0.9745924021231922,0.999985304698564,0.9885537645016654,0.9885558524584229,0.9873350766197758,0.975280662108042,0.9753235530580276,0.999211564742304,0.9749445322970572,0.9944357588244276,0.9817213538570819,0.9912918451633898,0.981988200635351,0.9923682018097961,0.9999526412095302,0.9878406258809789,0.9731767754583208,0.9750745832530484,0.9753719968130624,0.9819812439556742,0.975151272188195,0.9771456733257492,0.9944922331997303,0.9819823827507862,0.9676719839167591,0.9819750951875486,0.9748363005216786,0.9999933482572139,0.9885494948328306,0.9796699816484422,0.9745115013039846,0.9797021686717956,0.9819790155732288,0.9814798931168454,0.9729013225896423,0.9753986491887324,0.9799687455544313,0.9999821873333424,0.9746639642588776,0.9798875101076472,0.9885441628142445,0.9797131669141986,0.9873133886726718,0.970807555139988,0.9810128824810048,0.9885014338271859,0.992360734081178,0.979689012784893,0.9811951655017478,0.9999790978713807,0.9999805895703605,0.987857214666643,0.9999605748758379,0.9796494895781344,0.9996117245250098,0.9999591274789053,0.9798891417905703,0.9883064856227439,0.9799649308705237,0.9944827798067554,0.9820359227842812,0.9752420424464858,0.9865354756989718,0.9880566011093598,0.9750450635898715,0.9796780283204947,0.9999774520914011,0.992369040664855,0.9812158862589705,0.9817885344855882,0.9752796275759058,0.9944961222212008,0.9943520160609896,0.9867818794346984,0.9883161427307917,0.9796767528343057,0.9750592256765063,0.9818821286722195,0.9863749588821474,0.9814534835820601,0.9889791431327771,0.98851647296807,0.9872771038057233,0.9797420340351063,0.988567549159079,0.9751564372540357,0.9752716637034712,0.9999844765559184,0.9999928205907417,0.9998793101004388,0.9795109177717369,0.9750885248186901,0.9753429655769258,0.9873353888641297,0.98855156801347,0.9793730713234067,0.9999121461559977,0.9811449549952399,0.9751236625646076,0.9878464535709288,0.9742907408986721,0.9885679823499962,0.975163057651365,0.9753813273629368,0.9939366540417917,0.9751205875184565,0.9819153864656387,0.9999884706300008,0.9923690073910195
Tucidinostat,0.9873050654507795,0.9998164290242731,0.9860802616859522,0.9945011301928913,1.0000000000000042,0.9752721268917456,0.9860295719934808,0.9902207531332985,0.9944880918206623,0.9756297472946739,0.9859994045777601,0.9879299320065553,0.9954040714753751,0.9879123308922493,0.9867173594819574,0.9998642049447272,0.9877984743796615,0.9904549090059983,0.9875472761848172,0.9851859069492813,0.9878253563017709,0.9755669006493288,0.975148614131514,0.9878356112786421,0.9751065998259442,0.9876383075211963,0.9749231863778335,0.9752482581826943,0.9965160471013715,0.9851893998648634,0.9878886744651976,0.9849338885541526,0.9934361687486688,0.9752687204125805,0.9904584397805017,0.9747102747002021,0.9945020080383313,0.9904542338901482,0.9904432960953834,0.987784060291674,0.9755438314862478,0.9755894918906508,0.9937434134362699,0.9750662162092577,0.9998987551897665,0.9862755235775447,0.9968271395065896,0.9865224683121067,0.9978388693989159,0.99447127599485,0.9897929032314726,0.9735739482121516,0.975175636543729,0.9756295714815973,0.9865267441644109,0.9752519718253508,0.9825950227924062,0.9999714911088152,0.9865244726043129,0.969097217275705,0.9865107630739753,0.9749686144261712,0.9945058839811309,0.990445783297031,0.984919453341959,0.974479822589251,0.9849478120300795,0.9865218466957446,0.9860157499517171,0.9731787719282058,0.9756598115659536,0.9852136563929956,0.9945144051344392,0.9746904509074946,0.9851399366659193,0.9904446814610717,0.9849626635289929,0.9877764373716127,0.9724908111114959,0.9855509875961879,0.9904044134046238,0.9978264024436609,0.9849373154652185,0.9858153674844613,0.9944978134797504,0.9945049328773569,0.989763583030721,0.9944862526130792,0.9848954065979529,0.9941839193809549,0.994489175165756,0.9851264699582691,0.9902040515598868,0.9852173367552141,0.9999683005016035,0.9836464264909733,0.9755063270156612,0.9871147223728008,0.9899476674424735,0.9751532595786346,0.9849268705687418,0.9944979898522246,0.9978393830256508,0.9857988858197917,0.9863301080014683,0.9755447773351271,0.999975423984118,0.9998399422989892,0.9872617133081673,0.9902109171503904,0.9849293421794224,0.9751623060834472,0.9864279558094822,0.986786056339653,0.9859984079795424,0.9901375798540175,0.9904261601979195,0.9877347453182964,0.9849858728831113,0.9904639971271532,0.9752609128040058,0.9755304602440098,0.99450262502174,0.9945054375603118,0.9943980437712512,0.9847547907919618,0.9752980201632984,0.9756097513627332,0.9877857542772259,0.990447455236757,0.9846585722044844,0.9944315487102128,0.9857003376110963,0.9752238081676946,0.9897623777918888,0.9746196733791245,0.9904678622874421,0.9752631648108944,0.9756394053831023,0.9994613274828639,0.9752129387063893,0.9864505432220545,0.9945032797839617,0.997837614217862
Domatinostat,0.9746964401229422,0.975175245871881,0.9491459140936648,0.9751737499401777,0.9752721268917456,1.0000000000000053,0.9490990051468258,0.9804594873278506,0.9751533765259079,0.9816022169257838,0.9490570455158722,0.9754724101045006,0.9716003121379838,0.9754397887956872,0.9745517496261561,0.9751753977286635,0.9753568726094646,0.9806971792614776,0.9752130050797408,0.9490629197495892,0.9753650006029394,0.9816135402596429,0.9811016404400072,0.9753807866542666,0.9997093395679161,0.9752177745985053,0.9994550482333591,0.9999696118082944,0.9721645279702372,0.9490068704159996,0.9754422287034635,0.9487963624041145,0.9626715016066907,0.9999905861657404,0.9806965858766961,0.9995207159507927,0.9751628833989376,0.9806920974779775,0.9806762910370337,0.9753284921756404,0.9815229503451273,0.9815664555646382,0.9741661640773134,0.999782069541688,0.9751278104487723,0.949369433282788,0.9713322900348108,0.9495728090206745,0.9731825944246772,0.9751192740517985,0.980011750687438,0.9812755727322383,0.9996958803946734,0.9816034440151513,0.9495738711446571,0.9999708354623865,0.9489044176211874,0.9752795169708038,0.9495751990146477,0.9876115474541087,0.9495599064225736,0.9809780002650033,0.9751748451071954,0.9806805145241677,0.9487344182851233,0.9992475832036279,0.9487939894395866,0.9495707296747865,0.9490762766193588,0.9800399781738672,0.9816127989622301,0.9490583383479152,0.9751790496091882,0.9988142005464208,0.9489246236717196,0.9806690228564494,0.9488175446985835,0.975248607900931,0.9683001801011851,0.9485559144521785,0.9806598989897236,0.9731752655308884,0.9487912964277772,0.9486585418019142,0.9751599244745246,0.9751683365694311,0.9798389316221279,0.9751613955195588,0.948735600260194,0.974761029160315,0.9751586863786404,0.9490287329570489,0.9804644453826058,0.9490646029974861,0.9752486087410096,0.962983201072903,0.9814366258905468,0.9746669494789629,0.9801416741405641,0.9998683071748979,0.9487754992746584,0.9751682688452598,0.9731821889354276,0.9488077733000456,0.9493241735542038,0.9815397703043955,0.9752759860256508,0.9751418515628325,0.9747797310171825,0.9804527142700548,0.9488016737373433,0.9998425180239499,0.9494316136824577,0.9741082137930974,0.9490037660388327,0.9684646967837837,0.9806474855682336,0.9752478388516235,0.9488492105060571,0.9807041048617234,0.9999700636870671,0.9815262767027605,0.9751704788277265,0.9751792400882028,0.9750263505735174,0.9484504098767997,0.9816278441737957,0.981583957636278,0.9753311849476379,0.9806945979729468,0.9478295027012169,0.9751313408413385,0.9488022155831842,0.9999656102276697,0.9802223325978204,0.9801082069771115,0.980705008468566,0.9999737374183482,0.9816144853794564,0.9747314112587413,0.9999312679796628,0.949497037510899,0.9751731353858073,0.9731824065311621
Pracinostat,0.9864910704012446,0.9858201892775964,0.9999356950982796,0.9814941597826534,0.9860295719934808,0.9490990051468258,1.0000000000000002,0.9843011933525408,0.9814860165260819,0.9608220323670489,0.9998845716617758,0.9868625889464148,0.9820564241795512,0.9868707657724146,0.9858956532430372,0.9859388244434751,0.986774932819371,0.9845370160386875,0.9865833262456942,0.9971073784110753,0.9867538975392515,0.9607079072987493,0.960577099208856,0.9867886412224135,0.9490023491798423,0.9866109810350956,0.9488090878712327,0.9490813536759239,0.983357106763244,0.9971269074199798,0.9868083881235488,0.9968672615971496,0.9809853999252086,0.9490959950317592,0.9843934093889023,0.948481298555777,0.981496389065461,0.9845323984384293,0.9843913836974121,0.9867304485483146,0.9607603237733369,0.9607875046163707,0.9809048640165949,0.9489268922849833,0.9859986032089327,0.9993539593767458,0.9829119344162495,0.9995081181400912,0.9839144962228281,0.9815032045367426,0.9838778742401876,0.9592755123880186,0.9490082879711361,0.9608209901026353,0.9995030322292711,0.949087196062959,0.9926517102403914,0.9861024951146466,0.9995003520861375,0.9443515383985237,0.9994904658189596,0.9602278373847404,0.9815022385735307,0.9845311010804151,0.9968470827934534,0.9483942692804406,0.9968342250058829,0.9995012866667647,0.9998676917886137,0.9585652223587859,0.9608457434570613,0.9971468187643681,0.9815005988113149,0.9485127189084565,0.9970833318638872,0.9843878304351137,0.9968857689490316,0.98674666140699,0.9583481329929472,0.9986527275683552,0.9844996180899163,0.9839098719841688,0.9968674525145265,0.9986671240489243,0.9814923340919262,0.9814956441601533,0.9837749470007778,0.9814826176115947,0.9968362475988627,0.9813855564548097,0.9814730685644524,0.9970700184616677,0.984123465908283,0.9971427327621298,0.9860122403398714,0.9831753968362293,0.9607536779755154,0.9861486069248727,0.9839593441953396,0.9490011719646639,0.9968565762553949,0.9814921995522627,0.9839147061987348,0.9997818519642393,0.9993661631294044,0.9607541566040578,0.9860215769512092,0.985912157646801,0.9862984015445145,0.98415097903215,0.9968285584930769,0.9490432158255265,0.9994438648812128,0.9856166887429475,0.9998717664004869,0.9803854855958938,0.9843569403114398,0.9866764424987278,0.9968664033814052,0.9843958223554732,0.9490878601254,0.9607284007430891,0.9814959389782385,0.9815021747928583,0.9814111300288427,0.9967339199841526,0.9601857787903115,0.9608005525821879,0.9867267617145271,0.9845294920995665,0.9966286389369413,0.981423617903239,0.9987819188756799,0.9490521902508487,0.9835724419821082,0.9597827104796199,0.984399531331756,0.9490924448342642,0.960828040946955,0.9856942166256835,0.9490425452897546,0.9994342261729005,0.9814998817151159,0.9839135918524974
Quisinostat,0.9956198048728617,0.9900699316582945,0.9843659870711567,0.9883225447895134,0.9902207531332985,0.9804594873278506,0.9843011933525408,0.9999999999999992,0.9883006927855935,0.9900752343210177,0.9842921743023924,0.9962915305330107,0.9856172282879329,0.9962766196717961,0.9951665171489645,0.9901070133536807,0.9961601689190537,0.999754784190571,0.9958276430845622,0.9854860391068991,0.9961890952387885,0.9899726194961209,0.9896149548042195,0.9962073419816508,0.9802511611873284,0.995994683353268,0.9800576505643066,0.9804375479480373,0.9870632252590479,0.9854979404101101,0.9962300717257714,0.9852547908291598,0.9802837281392833,0.9804559880083988,0.9997324836807846,0.9798447639408707,0.9883186409405308,0.9997522797047308,0.9997140137992145,0.9961452753798657,0.9899995626396872,0.9900297099303581,0.9876087088159594,0.9802465486934873,0.9901577724095538,0.9843982772310738,0.9864574470735444,0.9846660460957948,0.9880940317442101,0.9882857904505677,0.9995176713585544,0.9888413673478271,0.9803450763754549,0.9900741292564537,0.9846707403820466,0.9804373826698274,0.9825175823602788,0.9902321967265355,0.9846694490646711,0.9723972052102554,0.9846529411775706,0.9893379246364146,0.9883266185530953,0.9997419957565543,0.9852266338256606,0.9795776487410489,0.9852587843327828,0.9846653472380325,0.9843110503108353,0.9878745576668712,0.9901021799094012,0.9855388016570392,0.9883360427956656,0.9798714953985409,0.9854622623655572,0.9997162883841271,0.9852803170979516,0.9961427454862629,0.9842382099980529,0.983422706888326,0.9997031757044569,0.9880884361556925,0.9852545801723398,0.9837349122890103,0.9883111356703529,0.9883206280245049,0.9994708762242818,0.9882883369448777,0.9852092336984993,0.9879953646986955,0.9882993734419884,0.985462358516921,0.9999337464787256,0.9855300681920932,0.9902003397268732,0.989766509572473,0.9899220267803257,0.9954920037968674,0.999717132780047,0.9803227762639015,0.9852503408823443,0.9883153310731396,0.9880979658679669,0.9840805108041679,0.9844817532584059,0.9899864137705275,0.9902196910766616,0.9900560718057257,0.9956008925070208,0.9999543428624872,0.9852323029502789,0.9803422740081257,0.9845444154047399,0.9944910891891239,0.9842886061030954,0.9855030415990331,0.9996797945961584,0.996090627716496,0.9852971826813444,0.9997372574195665,0.9804423958752676,0.9899360633450806,0.9883213294469294,0.9883271255930972,0.9881926428246276,0.9849765523194673,0.9896685829247656,0.9900535961276002,0.9961482947731055,0.9997468552230157,0.984563001146977,0.9882539320485704,0.9838168914964146,0.9804104344375175,0.9995215953983683,0.9884377347958515,0.999743359405815,0.9804459915268479,0.9900889879599646,0.9897337357228219,0.9803944411277905,0.9845943341063831,0.9883236252577642,0.9880945707065085
Vorinostat,0.9868508601748137,0.9943048274497691,0.9815393540152356,0.9999683298997996,0.9944880918206623,0.9751533765259079,0.9814860165260819,0.9883006927855935,1.0000000000000009,0.975340610318919,0.9814495580567234,0.987464823153012,0.9898427658512378,0.9874471702353286,0.9862280419819311,0.9943652875895167,0.9873259014379323,0.9885374699351662,0.9870597182906267,0.9799242296564913,0.9873610199330758,0.9752776221098437,0.9747891239709267,0.9873762496351138,0.9749727269870996,0.9872247788131416,0.9747738264365908,0.9751228473403089,0.991372986035855,0.9799249817019703,0.9874222689952032,0.979673956346376,0.9877686412670553,0.9751490329106213,0.9885395651442778,0.9745718962800842,0.9999647165507127,0.9885317819157796,0.988535004763307,0.9873193046984287,0.9752547619377413,0.9752959962169131,0.9991955330426846,0.9749239907981913,0.994421948337729,0.9817134316644552,0.9912786887735971,0.9819795561347915,0.9923553613079467,0.9999340969059535,0.9878187180705894,0.9731482260795812,0.9750539784490623,0.9753437348685702,0.9819728676896259,0.9751307771498408,0.9771340467937321,0.994479157976343,0.981973784135454,0.9676502648112327,0.9819668904669344,0.9748088638299575,0.9999718104289532,0.9885276155111026,0.9796582820372792,0.9744907847988522,0.9796901213253986,0.981971123309895,0.9814718062384048,0.9728731401253653,0.9753703709974568,0.9799571249965296,0.9999649502537677,0.9746428223192648,0.9798733450084597,0.9885221769576114,0.9797043572750691,0.9872994462410678,0.9707795355880132,0.9810040769035915,0.988480534356668,0.9923480429413014,0.9796770937358319,0.9811868157924214,0.9999590793678993,0.9999653671402119,0.9878365098730573,0.9999476537847749,0.9796371099517253,0.9995895505568545,0.999937329598276,0.9798770222207128,0.9882844671261398,0.9799521790424749,0.9944687615532042,0.9820215330297312,0.9752136177822184,0.9865199060593483,0.9880348591491083,0.9750240407399924,0.9796641236339416,0.9999639421173716,0.9923561998904692,0.9812075402430567,0.9817804485034975,0.9752522330551916,0.9944832673145594,0.9943383114386986,0.986766658279837,0.9882941047665399,0.979665295788826,0.9750386342922762,0.9818738040299677,0.9863598201431822,0.9814453182415837,0.988965062505491,0.9884989044578569,0.9872615164514452,0.979729504233579,0.9885456866642688,0.9751364980528056,0.9752457848861361,0.9999639478242296,0.9999724265338844,0.9998579189096132,0.9795025790897323,0.9750618456567385,0.9753162026787103,0.9873214031169945,0.9885297313891547,0.97936128054697,0.9998949563743438,0.9811365373424653,0.9751032545726293,0.9878244330062924,0.9742619357809967,0.9885460409739588,0.9751424806065774,0.9753530037993335,0.9939235657583615,0.9750999227318995,0.9819070020691117,0.9999681258311133,0.9923560456293793
AR-42,0.986599048073578,0.975499106830892,0.9608913969893856,0.9753673798872179,0.9756297472946739,0.9816022169257838,0.9608220323670489,0.9900752343210177,0.975340610318919,0.9999999999999964,0.9607890488688804,0.9874579061660688,0.9713308091526275,0.987420231854035,0.9860897110366964,0.9755048065013707,0.987313073933136,0.9903075938681443,0.9871944852682705,0.9661104614176333,0.9872773135694738,0.9998695252153499,0.9993627742743886,0.9873529877339707,0.9813512540688374,0.9870822667275271,0.9811444995887874,0.9815723932533152,0.9721881429682723,0.9661309722733353,0.9873944347291935,0.9658957214097744,0.9643104470773864,0.9815980756818168,0.9903067635926965,0.9810299308308735,0.9753596914001899,0.9903007830891097,0.9902900244287524,0.9872900413461746,0.9998380394841835,0.9998877512755449,0.9744491782174031,0.9813862754307046,0.9755532041933881,0.9610466972031957,0.9718476920418833,0.9613176526394764,0.9735372096690397,0.9753074980095572,0.9896014949371474,0.997374229645999,0.9814686328900211,0.9999504522062524,0.9613290734790697,0.9815707351076776,0.9647286625528547,0.9756211656155472,0.9613304831779254,0.971328449632458,0.9613104236305343,0.9993303301838254,0.9753694793481057,0.9902949746306631,0.9658674053479234,0.9808475664854969,0.9659132754041504,0.961314698371108,0.9608039971347913,0.9975849456200642,0.9998748162788731,0.9661785239410435,0.9753739671566497,0.9807028659812923,0.9660576652060219,0.990287160370663,0.9659221210365501,0.9872487567080084,0.9897446452279509,0.9600562094631454,0.9902518188301357,0.9735284942908466,0.9658971500590025,0.960284616541719,0.9753535609167092,0.9753629561496913,0.9894318312258146,0.9753362784509848,0.9658376496226475,0.974953854172799,0.975340922950721,0.9661146267138644,0.9900565757430836,0.9661755880930631,0.9756103277177254,0.9773396110630723,0.9997858639919159,0.9866391472116142,0.9898151628318302,0.9814370132349152,0.9658761449720492,0.975355726994534,0.9735382384000402,0.960553508528058,0.9610901569765792,0.9998240952979853,0.975620712869388,0.9754504395937423,0.9865847861896901,0.9900668729833348,0.9658754222703031,0.9814637333248456,0.9612038066900697,0.9854831788005283,0.960777607564683,0.9686862908423309,0.9902618784903956,0.9872453304095276,0.9659579580524267,0.9903151543836473,0.9815715659797188,0.9998176081308616,0.9753613163308212,0.9753692854319397,0.9752030774640178,0.9656224119443305,0.9995210344546015,0.9999111424206374,0.9873117935889839,0.9903031402521544,0.9651712700688444,0.9753160341449968,0.9604195127318781,0.9815500690929344,0.9897395001077083,0.9985089603952292,0.9903149455679069,0.9815975151443058,0.9999690053583277,0.9751268789430034,0.9815416076190931,0.9612432470437419,0.9753679601333567,0.9735388866830761
