,Entinostat,Mocetinostat,Romidepsin,Tacedinaline,Tucidinostat,Domatinostat,Pracinostat,Quisinostat,Vorinostat,AR-42,Belinostat,Citarinostat,Fimepinostat,Ricolinostat,Panobinostat,Givinostat,Tasquinimod,Nexturastat A,ACY738,Tubastatin A,Trichostatin-A,PCI-34051,ACY775,Selisistat,SRT2104,AZD-6482,AZD-8186,Copanlisib,Dactolisib,BGT-226,Buparlisib,Alpelisib,Idelalisib,Apitolisib,GSK-1059615,Omipalisib,GSK-2636771,PF-04691502,TG-100-115,Pilaralisib,Voxtalisib,AZD-8055,Onatasertib,Everolimus,GDC-0349,Rapamycin,Temsirolimus,AZD-5438,SNS-032,Seliciclib,HMN-214,Alvocidib,Ribociclib,Rigosertib,Riviciclib,Palbociclib,PHA-793887,Milciclib,R-547,RGB-286638,Dinaciclib,Zotiraciclib,Cerdulatinib,Fostamatinib (Free Base),Fostamatinib,TAK-659,Abemaciclib,Brigatinib,Crizotinib,Dabrafenib,Dasatinib,Nintedanib,Sunitinib,Staurosporine,Tofacitinib,Decernotinib,Baricitinib,Binimetinib,Selumetinib,Ravoxertinib,Trametinib,Ulixertinib,AMG-900,MK-5108,MLN-8054,SNS-314,(+)-JQ-1,Bromosporine,Molibresib,Apabetalone,Geldanamycin,Tanespimycin,Paclitaxel,CHM-1,Nocodazole,Colchicine,GSK2879552,Iadademstat,Tranylcypromine,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat,5-Azacytidine,Decitabine,5-Fluoro-2'-deoxycytidine,Gemcitabine,Methotrexate,Actinomycin D,5-Fluorouracil,Pemetrexed,Cisplatin,Carboplatin,Oxaliplatin,Ixazomib,MG-132,Carfilzomib,Bortezomib,PJ34,Olaparib,Talazoparib,Rucaparib,Niraparib,Veliparib,Thalidomide,VHL ligand 1,Nutlin-3,Serdemetan,VH298,Iberdomide,Lenalidomide,Pomalidomide,Doxorubicin,Cyclophosphamide,Vincristine,Prednisone,CHDI00465983,CHDI00390576,TMP195,TMP269,NFAT activation inhibitor III,Cyclosporin A,LMK235
Entinostat,0.0,47438936784.96304,48632212855.74708,71901399829.50359,47120155394.24739,59951567068.75259,48740803684.36285,29314184386.948616,71912131885.50482,62552722463.48836,48768327880.62413,9721678551.371052,53711523137.927475,10246786048.436703,16697298408.914652,47311406585.893906,10648955510.90156,28802140788.689568,11995835272.299465,43500028426.691414,10824840517.359915,62657108475.7765,63097123034.47165,10368094920.52719,60163111169.37274,11046108018.521608,60446279766.0363,59983029568.17187,51688135572.55166,43480784316.49347,9981761718.841692,43824782215.19941,57462150832.163536,59956503002.7682,28794909163.66677,60800089567.035576,71903380617.70145,28807651041.568142,28825833207.60512,11162690235.609653,62640788895.38794,62608547628.69931,72646633253.1512,60208434190.67974,47154032041.267204,48276410881.78119,52650676779.78857,47889521937.971436,50668104043.674545,71907164645.23682,30469695452.17606,64779758284.66546,60213074054.31846,62554429987.35643,47871738578.92298,59982189242.29627,49000210142.99247,47130831916.58831,47875606116.55967,67862685876.35037,47895271075.72258,63227522051.78218,71894806279.72478,28827733656.712963,43860629530.034485,60834340909.074005,43786895711.751854,47890087665.29632,48749548992.707344,65049784791.464676,62609336222.52735,43417081417.21709,71883747999.26067,60683914471.217514,43541354369.4018,28849079145.267006,43781823744.8062,10720007460.735956,69661675306.44281,49604553760.3937,28929318365.436985,50679409098.48444,43828695853.35698,49207076359.74409,71902715756.39291,71901375370.66248,30173230131.809868,71924287077.34015,43898173419.624916,72223965836.47406,71917897880.44113,43562042549.75687,29380338670.406094,43440163001.705925,47148259824.63758,32797518885.18952,62721102015.532486,14691850901.852459,29839826444.97388,60129175051.85238,43847458926.786934,71903641473.99525,50665622731.02027,49085266281.20444,47761335936.33041,62677916651.802086,47128803431.18886,47384277621.21025,13901822485.581457,29338384177.658257,43876863145.15006,60079058820.20445,48026664464.99811,18013715987.009937,48750481424.56316,52245189868.92982,28889385596.95041,10988439878.634768,43749749755.07139,28779039458.03859,59970105191.91888,62710055188.56123,71902172937.75977,71896732271.57668,71993262035.47342,44194173883.77824,62984074756.65474,62583757960.11066,10601853506.737303,28816220568.74356,44613232042.804985,71960082120.27274,49140815965.04658,60014635870.30399,30526144011.454792,64159711784.330345,28778213799.696472,59962904148.583145,62540227322.93671,47787373773.70043,60020626793.48799,48015576954.28424,71898551521.47066,50663244325.303894
Mocetinostat,47438936784.96304,0.0,47777984256.00902,48879549718.599075,5437938951.309208,67160618840.40622,47861831224.802536,50557948692.21471,48900137115.210945,85798471133.04086,47912924203.45062,46382417675.81954,27718031793.365246,46420201155.05006,48402660654.20395,6944916827.747833,46606158479.700294,50258204938.15766,47009921483.20626,58293698700.834984,46545330053.5326,85854981591.13165,86232414480.49661,46536989973.86771,67362497819.14063,46870210250.35656,67579668982.28331,67187644645.73103,24277411346.13223,58283322061.35764,46451996548.3868,58555992704.45643,32868768898.57546,67164718739.92249,50263552634.18927,67800605918.76157,48883105245.78341,50265850004.12865,50282168861.48465,46620502325.672646,85875965812.96797,85836663666.93275,50079976728.65291,67399134243.77892,6596981534.916424,47429976186.023445,23214128862.38902,47011637850.84382,19398717451.85899,48940080863.55046,51226256404.188484,87644650984.65164,67290211004.34491,85797348073.01805,47010812883.22752,67184485058.124626,61966166145.92097,5609043305.001153,47008978092.997246,74466507732.0024,47032354938.60644,86364958109.38606,48871303307.463585,50273425350.26484,58574276324.337776,68068181059.02161,58544491377.71846,47013768445.17584,47890436683.90855,87891017126.24388,85787746422.29822,58251879808.06819,48860791811.79437,67884420186.80453,58347373682.84585,50285355350.83941,58518564482.546646,46643096690.639595,89506161101.05264,48627846671.941864,50345141112.41,19425932023.31247,58550951237.20542,48194884294.92871,48890777067.788605,48885981386.522514,51275260688.814224,48901630826.44339,58606872076.31283,49380379637.04383,48906653939.82246,58369535462.36736,50590178686.332954,58248868707.71027,5686319424.274221,53377968644.687164,85911158975.38672,47758650451.51756,50981105113.81205,67299144164.14588,58565164046.47508,48881659935.31292,19393284884.67233,48252047630.95028,47337901879.83246,85877498459.49475,5593159344.281899,7319293232.27278,47514191201.80569,50577309269.09201,58565971369.42327,67290944378.82981,47172215474.94592,48334939592.28287,47914257922.29405,40089268316.64946,50318493311.3811,46694465558.62174,58495113098.728615,50254871608.98717,67173922327.522896,85888535932.04865,48888206958.62149,48872117280.866135,49055795300.91111,58790629425.65834,86102033842.53691,85819128122.93808,46608020520.49658,50270273509.27908,58983890246.87913,48993543210.42043,48392220206.94956,67214625648.6906,51261748639.56123,86736382521.15701,50248570893.14048,67172249186.13322,85787706385.13643,10721574177.177444,67229172258.81434,47137878816.60143,48876652659.35825,19404268179.753788
Romidepsin,48632212855.74708,47777984256.00902,0.0,68285887464.22468,47425431736.04567,91214681442.5765,3227316534.069949,58544429980.469826,68293085400.91093,96387100044.86789,3478052484.931347,48000371699.09255,53761755025.76171,47992744639.54439,49585377049.09468,47578269832.57104,48149584055.799866,58286493359.409195,48447349345.33334,41646828748.32256,48165891722.77037,96470120384.58159,96617695327.2067,48124858478.94165,91304209420.82574,48411768677.241165,91468271636.35103,91229323096.35837,51796637512.74799,41593460828.10037,48088372407.381355,41974815001.94536,55229300105.334854,91217313051.0695,58464300353.66696,91723184622.86987,68282205946.74762,58291834387.93721,58469630247.68961,48207549514.89565,96440154175.4823,96417731994.79868,68919581602.60751,91360326070.7152,47477561429.41868,9869640916.680573,52492774416.68531,8618586053.592278,50949901503.8228,68268188811.37893,59116636565.662895,97695578786.32071,91300415864.48463,96387263291.78981,8604725509.904503,91225174506.25787,49477327949.74987,47301568689.97549,8589801790.48906,95457306789.91983,8672550660.989363,96846287974.36377,68275830503.62535,58295304135.385284,42020692980.52723,91804151352.02234,42048913669.67448,8623164908.889587,3759523271.184205,98118233852.93004,96380866203.48666,41557131192.78174,68276323006.50402,91731867012.75075,41673487976.60599,58473344629.90036,41949259798.092674,48195695316.47165,99227501336.13693,14577269055.884375,58338943022.809975,50958760323.48702,41982792118.59142,14465110059.263779,68286327110.745285,68284765449.5634,59246490808.14764,68295175674.80591,42042984478.95758,68358295632.28881,68308616641.49051,41707090028.80518,58766117759.72781,41576315173.054245,47455850833.13963,53994989875.65616,96451478351.83736,49181559700.85257,58992592849.27609,91297896488.40892,41993563741.165924,68286069223.59816,50950380473.56897,5317918389.375257,9806882524.835392,96446798531.86635,47439558704.80393,47622047727.27402,48939843908.240875,58730457439.97039,42057134544.51322,91265773425.79999,9159096004.61377,50051771272.46203,3695855257.7673473,56051470720.04375,58515796203.31492,48287804185.59211,41988885455.82075,58461307484.0731,91224332294.56223,96463133317.0289,68283485111.74623,68275390908.34288,68376352219.67214,42226268935.372696,96849139010.27551,96405934946.19145,48203997224.5834,58297023304.71207,42529469317.76236,68365498291.53394,13848318265.409805,91253239657.42854,59481409994.09666,97232423308.0946,58455969553.08312,91221115539.81503,96380291466.74258,47984386045.72962,91262179213.50603,9223908770.111717,68279237221.47907,50952322271.095184
Tacedinaline,71901399829.50359,48879549718.599075,68285887464.22468,0.0,48503672015.14271,92701614899.41246,68362708804.944984,82880268839.33652,2551408086.6270704,118213442049.2653,68412817947.158424,71049064428.97939,56594431336.182976,71084735162.51866,72713346283.3026,48758915531.67842,71241378757.83882,82698302576.65385,71553844664.36699,91907365269.08867,71155999127.84897,118263691087.98756,118637888900.96619,71171175614.07927,92905015772.27022,71373582736.95705,93118930134.89929,92731371652.04024,53885165114.906494,91897524706.7721,71106379450.9213,92066676056.97165,60834380146.169495,92706295453.65044,82700839211.77905,93285635046.7379,1737988737.9825664,82704592844.32144,82710374645.16731,71215919731.55107,118283870725.20625,118250454967.98453,12727870676.939505,92935846823.00555,48644657278.06488,68127406096.57983,53987406839.53072,67750479353.39303,51953843150.42142,3119996073.143424,83439615021.09862,119943843911.24983,92836551174.7545,118210281846.1086,67759408067.067535,92725405128.86891,95136323647.93185,48522220148.74875,67758468796.7645,100890244118.01823,67769574914.30275,118634226059.41342,1169302162.6693397,82711154799.61125,92082586823.75604,93399745542.94572,92059396785.37558,67762914148.1727,68385049063.58695,120067510282.63783,118208239211.98048,91868247293.91801,1913470938.5740092,93337615614.24396,91945838048.74254,82720872979.72903,92038973973.54099,71275204307.88795,122603257261.62894,69156902165.77003,82764907438.41843,51969271430.06955,92062626931.33969,68913468722.06525,2072774917.4055681,1997452619.1865048,83432539787.88007,2846694370.973943,92103908843.68782,8932771169.233908,2898479344.8410206,91953254759.3853,82906831480.67271,91873126324.83058,48542530086.46339,78484943042.32095,118315847241.08247,72332743328.9953,83191855828.26848,92834796628.09793,92073564193.68785,2152828518.827023,51952332970.76808,68747054058.40216,68035898797.08226,118287109451.37697,48515968958.6459,48813250627.28119,72012342274.09499,82893823470.32883,92080556145.43181,92825436738.5961,67901231754.02935,72661439006.82732,68420051494.06741,59591539121.00594,82755167417.80655,71280666475.66034,92020710220.69301,82694225151.23645,92720011303.4447,118292734982.63966,1786291590.0580041,1214795456.537066,4980591317.73524,92241321269.54166,118453337122.37274,118234710137.35046,71199244325.60245,82707904999.93742,92468015083.50603,4249417035.035096,68949669643.45767,92750211131.34212,83432844321.49904,119097758782.2682,82692833729.44589,92714652651.79333,118201423239.1828,49656780956.90193,92758357147.71033,67839991929.29144,1539438088.8418198,51952567198.1218
Tucidinostat,47120155394.24739,5437938951.309208,47425431736.04567,48503672015.14271,0.0,67084162793.032166,47510558959.61982,50381509547.0832,48522485290.584785,85745111693.23766,47561497651.076996,46055617235.67372,27207172042.122334,46090692369.566315,48085724716.0452,4677130696.081741,46281795437.09934,50087175059.438515,46688114130.77876,57986641648.88941,46220202480.07419,85802175036.67924,86178904445.1155,46217703520.28221,67286297994.409874,46547721738.407425,67503902173.92014,67111511829.83808,23702504005.482536,57976001291.62153,46126537399.84604,58249069023.7819,32465124005.057373,67088294258.73301,50085694017.9791,67724999246.986916,48501189177.31322,50088786475.97215,50110272945.30623,46292154589.62612,85823521441.66951,85783677994.60732,49712072173.135086,67322869156.50634,4038570835.8468885,47075588511.52158,22624079911.760838,46654228617.67358,18689225598.361435,48551554593.73231,51052325260.226395,87592580096.68239,67213944536.705414,85744868697.21358,46646921664.93448,67108007857.09431,61674633380.938866,2143091409.2399185,46650726111.85171,74397512822.37256,46674168170.38152,86312432869.28133,48495420506.2682,50102615849.14598,58268424125.68253,67992765146.006294,58237614038.580956,46655288771.331726,47533303984.29319,87839649065.73961,85734814141.79509,57945084669.38101,48477478406.551254,67808782913.284004,58040106045.36506,50107681551.09986,58211431861.5393,46318668305.243256,89463934350.19986,48282843803.58855,50166686873.31213,18742762903.336655,58244183492.70413,47839709265.58002,48507764956.41872,48497160944.36174,51099742870.54528,48523972006.42216,58300205261.05265,49000948748.58043,48519515790.32771,58063110445.01159,50413464391.96157,57941804522.96208,2259827479.1201835,53095318983.18593,85858407188.36308,47441974953.83167,50806303926.87793,67222657405.73156,58257900280.39655,48506184610.49277,18687010768.568165,47897919450.454185,46982225626.23586,85825093190.649,1989783111.297174,5077771566.845912,47194976910.85324,50400991456.80274,58259343495.22625,67214654862.8221,46815751465.32062,48021018679.909836,47562810325.30298,39762208202.984314,50139647232.22751,46370685722.1653,58188381004.19709,50077260193.8131,67097957271.36367,85836201081.35326,48500830457.38507,48496064906.318665,48669994464.49294,58483190980.86656,86048476756.49391,85765401839.59,46282510414.496475,50099293507.22574,58679947994.52461,48614734300.95467,48039714898.3337,67138499542.12373,51093798507.115,86684147233.7024,50071038807.26003,67095785893.061,85734906002.86403,9314426674.792925,67153130918.58593,46780341838.26892,48500717709.4438,18694632435.13412
Domatinostat,59951567068.75259,67160618840.40622,91214681442.5765,92701614899.41246,67084162793.032166,0.0,91246204287.55594,49805963960.156784,92713752634.52596,57077028756.015114,91277753705.5964,59128904342.634964,70865806052.79758,59159174298.69852,60077332582.38672,67167930097.06918,59248526888.335106,49501277698.07528,59415092083.69479,80117710045.30229,59259221648.78092,57075190531.62176,57625983548.71951,59225051227.36153,6099815926.905972,59401254612.87904,8351706047.6714525,1972444573.3348005,70461493944.10732,80162784103.78511,59159753876.4124,80334258775.13759,78509205508.46667,1097836685.945597,49501842143.12488,7832488204.271734,92710279552.67545,49507730250.011375,49527576780.98672,59295801619.87063,57166297667.57007,57118950826.54196,93381302396.36668,5281905730.506455,67224276478.52818,90957389394.85043,71350905428.2422,90816802821.1695,69617939833.60077,92741108437.57472,50366719762.510445,57690498810.28711,6239424149.115536,57075556619.00999,90816433330.45404,1932323062.5597644,80129446918.7048,67074826375.967964,90814736067.6624,39702201664.71905,90825443146.5546,57747577635.25893,92701328864.11261,49522413753.73407,80382302958.00291,9813023508.59675,80335104811.87854,90818371751.34456,91260479077.64514,58832833996.19279,57075632100.94243,80122736261.52159,92695682728.83086,12317771468.548717,80226416258.97285,49536886199.293236,80318231444.46674,59370703489.320595,69642797728.71307,91501403421.36304,49548413311.985,69623549988.678,80338357396.7868,91423847122.42245,92711565196.2395,92706979188.92102,50582684866.3324,92704758249.26228,80380868507.08292,92966372476.26813,92708161207.3543,80143694388.35493,49799172377.67662,80117609572.4808,67105926518.09793,71413620260.63602,57255579083.145744,59964908224.514755,50205241729.43618,4106029615.7277083,80350499074.40353,92703004795.69347,69618391033.24773,91460124641.25185,90994863315.08841,57151817295.17616,67077808737.94476,67199876521.522026,59851782355.08042,49814228390.45803,80329211814.12218,4490076358.159283,90919778018.24825,60523192712.92582,91317910137.82921,72587046356.1388,49564042524.91403,59389816378.3098,80292529103.74492,49492271338.78796,1957724459.0030067,57165446546.52222,92704439347.38223,92697288529.36145,92803541891.37874,80600802272.34508,57102424412.04844,57099211351.98218,59300560541.03594,49504487441.62342,81067603953.28952,92719229132.04886,91344004374.12222,2098293798.582744,50101860440.77208,58664510161.0747,49491158325.01033,1833670140.375,57062665308.61855,67578139216.79573,2966384526.1095757,90886009475.31892,92703239589.37659,69618017427.3809
Pracinostat,48740803684.36285,47861831224.802536,3227316534.069949,68362708804.944984,47510558959.61982,91246204287.55594,0.0,58615645782.6389,68369265107.58815,96422928814.28955,4323765754.640883,48109270222.734886,53836822238.04348,48102466633.208725,49690183553.27015,47662160519.799065,48257896576.17503,58359129438.81032,48555635753.99785,41705186239.58962,48273545506.24464,96506128519.58621,96653746904.00218,48233042335.644966,91335771318.89949,48519729577.816986,91499719543.40201,91261084057.27354,51874004420.70114,41662039535.458145,48197820640.47189,42042628290.92453,55300969177.56281,91248835545.88516,58536728876.82453,91754565101.39662,68359094932.99008,58365300324.7272,58541797582.74418,48314725012.89481,96476386113.85092,96453112020.79068,68995153270.1605,91391778020.5278,47561436872.78676,10227507514.259052,52570216100.843704,8924570354.248802,51028877334.07092,68344451159.16453,59187276084.32661,97731131386.8728,91331801081.04378,96423289779.98729,8970586302.35168,91256722661.33261,49534753944.7398,47386255891.35241,8994734771.214663,95487462624.8476,9083262221.619461,96881256241.15845,68352436364.30601,58368436364.189476,42079493066.62523,91835543192.88397,42106512382.34145,8986320555.592056,4629099241.144007,98153720380.7613,96417209753.98085,41626002252.31902,68353133903.1602,91763232397.2737,41742207740.9284,58545589032.90504,42007086453.088486,48303174032.917336,99261556037.80061,14766936637.54081,58411402696.44894,51035900614.70938,42041144651.90366,14687885487.727375,68363518700.31208,68361203747.95564,59316364270.282425,68372300784.83328,42101939585.80558,68434948858.97447,68385823075.51614,41775208696.82069,58837876939.670746,41634809711.287285,47539595230.02545,54092258416.91317,96487241833.86642,49287971739.501045,59063782841.18858,91329380648.54936,42061115591.73572,68362743435.614746,51028549349.751236,5943821514.10172,10130479433.085133,96482236984.19984,47523875735.26435,47706845086.25122,49044930781.26826,58802280703.86755,42115070201.005646,91297111767.26447,9489424370.178732,50156788019.17229,4557265515.584689,56123006210.653915,58587866065.89819,48397472292.07112,42047523319.56633,58533329204.05683,91255943844.03769,96499452742.6444,68360305894.57573,68352373895.85372,68453000119.73797,42294148356.564384,96885053049.44168,96441653363.74344,48313715233.27554,58369599908.59906,42596004498.06138,68442025206.68524,14041674669.83337,91284528357.03416,59552194323.34686,97268032826.09784,58528203924.41569,91252452573.33388,96416354507.38506,48067164096.22951,91293723107.53604,9571478542.953814,68355896369.38622,51030293333.50938
Quisinostat,29314184386.948616,50557948692.21471,58544429980.469826,82880268839.33652,50381509547.0832,49805963960.156784,58615645782.6389,0.0,82895048010.18152,45831247469.812386,58624484929.80867,27853309527.51452,56441915654.91519,27875832646.881798,30261296113.43337,50515667163.96407,28143181905.683704,5533589518.463615,28925188246.582363,42459495054.069534,28112128001.01448,45963972485.31499,46455988984.60764,28038357892.888004,50058297247.11984,28522168084.87081,50292017466.70826,49832988001.4152,54809448062.69929,42442623100.87358,27993212461.91625,42799384778.31433,61698692866.81458,49810185866.43164,5779701613.80935,50561014397.255424,82883102442.14421,5561772394.504289,5975865217.192087,28206488682.0415,45936441383.90929,45894214958.76053,83346817127.65182,50067059986.7298,50451546286.50563,58395998367.9393,55645776984.25778,58096970442.99398,53715929956.088974,82906690146.3515,7760298705.1947365,47623195270.65289,49938969666.33066,45832215010.13492,58091867933.068085,49832984804.66695,46541214520.403824,50363534785.91304,58092572170.94676,58712172247.78504,58110851204.61021,46783603724.712105,82877080597.72197,5676030364.842278,42840001018.185074,50882875776.44583,42793139818.76763,58097718327.98835,58598738147.47113,48685700481.674934,45809872356.54014,42383008214.760284,82865777097.78256,50499512153.76704,42494382935.2663,5952056912.923128,42762623522.33299,28182587819.294777,53533274808.319214,59441179511.56059,6088030399.856417,53720832088.959206,42799753348.7231,59071181208.251625,82888903531.70705,82882821495.15556,8127939799.710958,82904781964.96262,42864948653.12942,83089270770.81383,82895268375.98146,42493711939.38739,2876449648.666287,42395686933.77357,50405787236.15944,39716660313.39179,46035594288.49567,29567284750.738754,5943193922.864074,49974039591.599594,42805802570.50222,82883444177.61449,53710765033.25002,58861719935.086105,58296581625.49204,45954130108.9904,50380099730.14065,50582037060.926025,29346148113.6821,2387859947.2990155,42831548632.217125,49948617555.90348,58233592656.49659,31627089440.82603,58626296541.500656,54820563565.585144,6323228445.708133,28339620005.201183,42737729306.78805,5727907776.68974,49826843004.603584,46014496315.8417,82881401573.01077,82876373383.70306,82975687814.7698,43199093487.57986,46371621963.634834,45862435061.04323,28214020940.615646,5622329700.611322,43781646430.05248,82924844284.55128,59017250364.83259,49866997566.587204,7728674582.182267,47929327424.425514,5661012517.801604,49822172244.80012,45811872594.12495,50955391443.12557,49885906439.94988,58197099034.33736,82880436331.9416,53715068374.76108
Vorinostat,71912131885.50482,48900137115.210945,68293085400.91093,2551408086.6270704,48522485290.584785,92713752634.52596,68369265107.58815,82895048010.18152,0.0,118222742840.77287,68419297755.71166,71060317453.84776,56610471322.025246,71096065592.95113,72724311291.94028,48777811279.263824,71252432315.78323,82713165892.13437,71564843008.91824,91911136533.31691,71168648129.17805,118273645240.96394,118650223368.28116,71184148456.60191,92917361042.79398,71384990100.45993,93131081286.33324,92743728452.77469,53898254884.31488,91902026297.5375,71118970849.65007,92070617607.86981,60850582778.56711,92718432170.49437,82715704257.50055,93297783230.44423,2693018996.65169,82719524733.21878,82724205201.5012,71229109447.18317,118292648213.32721,118260215573.23892,12856291722.307835,92948088489.59929,48664850822.9012,68133674179.79331,54004456180.124756,67757768351.89453,51971109542.25169,3680439018.2002606,83454318452.69427,119953943448.02345,92848860510.78752,118220465076.82014,67766335079.02845,92737644750.8087,95140041106.24796,48541094337.58504,67765694963.101524,100901913579.9447,67776269290.37376,118643861936.14679,2407136411.60714,82725984930.13608,92086689594.58151,93412050151.44699,92063800943.60748,67769189291.80358,68391526543.49326,120077389038.13765,118218430252.61021,91872289774.16695,2684081898.7523217,93350284574.21964,91952075299.87486,82735803421.8648,92040582490.74301,71286180803.7418,122612590809.06036,69164192147.18402,82778777421.78159,51986269665.76607,92066921155.86496,68920188065.573,2900169369.258831,2668087921.9801025,83446088668.31593,3280120197.886573,92108597020.11652,9184061926.960493,3589046886.7094035,91957720928.10121,82921764088.80176,91878147577.99974,48563161955.3893,78495002784.55173,118326110883.30743,72345429870.79077,83206456498.8271,92847477039.2411,92079573091.00131,2722393905.359511,51969600387.87241,68753830010.80556,68042397282.24152,118296768805.90192,48534432395.03839,48833169742.684204,72024685384.19014,82908778213.32321,92084448952.83304,92837741106.66353,67908069279.30786,72673524321.97838,68426629551.1583,59607713176.22761,82765815418.78134,71293622508.3775,92025534781.3835,82709042296.67686,92731765772.21535,118301498512.61989,2722204142.7113013,2380684752.179253,5403859158.299675,92242512108.75899,118462549778.50273,118244003871.33061,71210296577.97754,82722694680.31758,92472152384.87724,4646487870.688257,68956483422.80339,92762370683.55118,83447657510.04468,119108127884.23799,82707727720.4888,92726965753.96902,118211644344.11945,49675191821.26988,92770738839.2571,67846922227.18296,2559624534.501866,51970046749.003365
AR-42,62552722463.48836,85798471133.04086,96387100044.86789,118213442049.2653,85745111693.23766,57077028756.015114,96422928814.28955,45831247469.812386,118222742840.77287,0.0,96441656749.65034,61890341140.75975,88731875544.71124,61908532367.71973,62933003765.58875,85805599745.9383,61996353177.51309,45510745560.75455,62114797699.44785,67624067103.71769,62079180380.18976,3520805490.1015215,7779801871.535119,61968235076.87577,57270382657.36494,62198884428.625275,57426242786.31345,57102353356.25205,88388995141.50626,67614196844.30036,61941065555.867584,67839581779.68065,92098890817.85013,57080093317.18515,45507534046.54342,57545571218.99159,118217020037.21503,45518109850.49629,45523798452.042,62054967387.0908,3922649046.8476624,3265663655.2467594,118527318018.77077,57249209133.364334,85778974753.38905,96157878466.57253,88696293924.76091,96015844004.86424,87743709580.05624,118239474492.9272,46303697303.52748,15784609272.708538,57154691887.18021,2169718324.286214,96009226018.51125,57103048277.97908,68057606651.39487,85749161388.79823,96007281661.84595,64357823739.962685,96017971801.0871,7975331453.474013,118212971892.25107,45522824007.41166,67860194705.00916,57673450764.56796,67820039312.32497,96017625129.31303,96428675322.8029,15138813608.144157,3448681440.044059,67577633359.00691,118208063425.20773,57737375621.768326,67668651783.74978,45527978390.66942,67821445405.99633,62054221498.54236,31135058876.787384,96638273149.24213,45567764710.180145,87746918430.26933,67839206697.6192,96496778584.00586,118219149248.51782,118216776782.94774,46494656155.49348,118223034032.81969,67881103090.92074,118347766554.59555,118221473233.24825,67616299248.01717,45843251135.98284,67578765505.94126,85754002748.42044,69367847402.08185,4510384880.452577,62466246324.15533,46088766525.267586,57214450263.16346,67854832800.44063,118216424331.85626,87743030836.25609,96570547928.47476,96132540689.1358,4088009290.849349,85748289676.63481,85838911827.98732,62551004577.62325,45834400722.058784,67850843522.405815,57185489169.39624,96075136458.35385,63367032886.232895,96446036903.83554,88389087267.58643,45551314032.92084,62102543397.12245,67787670224.58108,45498169509.11975,57103177590.36056,4162700829.072776,118216982912.89069,118212863229.7121,118279597252.21817,68038593902.09047,6745144963.779135,2905569422.2384386,62053919202.44073,45514199133.69824,68312846991.03211,118221441343.53734,96463496107.44753,57122301676.15181,46142242291.64167,11897986420.096983,45499313885.808784,57077651958.92219,1716090883.4645169,85983020097.60893,57124663269.692726,96078590320.66473,118214345486.37311,87742349728.20943
