(+)-JQ-1,Bromosporine,Molibresib,Apabetalone
44257237.3333333,1061606442.0,19124393.3333333,1061606442.0
12101594.4,11965537.0,11851932.8333333,11965537.0
9705844.0,,,0.0
,,,
7299442.0,79945106.0,11450666.4,
,0.0,24500129.3333333,0.0
,17162064.0,14390369.0,17162064.0
7095706.25,,7398424.0,
1284728275.83333,1764280302.83333,1148928796.33333,1764280302.83333
1811049722.83333,2226484947.33333,1465681164.33333,2226484947.33333
16043432.5,17809544.0,23090905.0,17809544.0
17265678.8333333,26855880.2,13207470.6,26855880.2
101205411.833333,118916567.5,65477307.0,118916567.5
18524651.5,33209892.2,,33209892.2
9593173.5,9027693.33333333,7470380.8,9027693.33333333
12153145.6666667,15455976.6666667,,15455976.6666667
15008538.0,26631850.5,16603389.8333333,26631850.5
0.0,9845701.0,,9845701.0
21182083.6666667,32058590.3333333,17338392.5,32058590.3333333
184985034.0,213460236.833333,135840031.666667,213460236.833333
,,,
16104802.8333333,37171255.3333333,28180680.2,37171255.3333333
6667806.66666667,,15555514.0,
,,,
9995438.66666667,13425447.0,9466519.4,13425447.0
383132436.5,507105124.5,351743014.833333,507105124.5
18808087.6666667,23459980.0,15419373.8,23459980.0
,,,0.0
5561117.66666667,,,
16672591.6666667,23876223.8333333,27080532.6,23876223.8333333
24099291.2,,24893825.0,27308268.3333333
12661894.0,20589591.0,9329761.83333333,20589591.0
540178296.0,,,586730388.0
19912676.1666667,36851051.1666667,19853522.0,36851051.1666667
248170034.166667,338651562.0,214956576.0,338651562.0
352721679.833333,434653415.5,247923063.5,434653415.5
,9256178.0,8055690.4,9256178.0
11863445.1666667,,12048518.5,11074024.0
16020893.6666667,22543982.8333333,16024116.6666667,22543982.8333333
6102722.0,12708949.3333333,6429787.0,12708949.3333333
10693457.0,0.0,7080117.0,
,1469704.0,,
3849513.33333333,0.0,6814897.0,
95195502.6666667,106936253.333333,74027796.5,106936253.333333
1188655730.66667,1481100827.5,1115088665.83333,1481100827.5
8781659.0,12957633.2,9233841.16666667,12957633.2
66743634.3333333,83596039.0,58925584.5,83596039.0
0.0,,,
84049680.6666667,101632244.166667,62989714.1666667,101632244.166667
110001838.833333,193999844.666667,114428046.5,193999844.666667
33713108.6666667,33185573.0,35884528.1666667,33185573.0
,,0.0,
38877690.8333333,52643148.8333333,36014887.3333333,52643148.8333333
10962751.3333333,10083374.0,7861928.0,10083374.0
316814139.833333,226844138.333333,174384613.0,226844138.333333
6275510.0,0.0,0.0,
924997614.0,1146032597.83333,858659672.666667,1146032597.83333
8550021.0,15126462.0,,15126462.0
28131231.8333333,27223393.6,10946629.0,27223393.6
