5-Azacytidine,Decitabine,5-Fluoro-2'-deoxycytidine,Gemcitabine,Methotrexate,Actinomycin D,5-Fluorouracil,Pemetrexed,Cisplatin,Carboplatin,Oxaliplatin,Doxorubicin,Cyclophosphamide
,76096690.8333333,69690061.0,69690061.0,33305297.25,44257237.3333333,19124393.3333333,162318408.5,645288930.333333,33305297.25,,162318408.5,44257237.3333333
14464651.3333333,9714189.4,10222605.1666667,10222605.1666667,15010665.0,12101594.4,11851932.8333333,7353536.0,14464651.3333333,15010665.0,14464651.3333333,7353536.0,12101594.4
,,8016476.0,8016476.0,,,0.0,11428511.5,,,,11428511.5,
,,,,,,10113000.0,,,0.0,,,
12495788.0,7855236.33333333,,56080082.5,8039443.5,7299442.0,11450666.4,,12495788.0,8039443.5,12495788.0,,
0.0,,,17491111.0,,,24500129.3333333,,0.0,17297392.0,0.0,0.0,
11415811.0,10926884.0,17033315.0,17033315.0,,9356373.5,14390369.0,0.0,11415811.0,,11415811.0,0.0,9356373.5
8705301.0,5831483.0,5468862.0,5468862.0,9804432.5,7095706.25,,4524998.16666667,8705301.0,9804432.5,8705301.0,4524998.16666667,7095706.25
1295815244.33333,1272260430.83333,1453462582.33333,1453462582.33333,1487892611.66667,1284728275.83333,1148928796.33333,1311261795.0,1295815244.33333,1487892611.66667,1295815244.33333,1311261795.0,1284728275.83333
1636173298.66667,1905019570.83333,1900529087.16667,1900529087.16667,2024535713.0,1811049722.83333,1465681164.33333,1439786961.83333,1636173298.66667,2024535713.0,1636173298.66667,1439786961.83333,1811049722.83333
32897728.3333333,7058094.8,14731541.0,14731541.0,19385997.3333333,16043432.5,23090905.0,6219153.0,32897728.3333333,19385997.3333333,32897728.3333333,6219153.0,16043432.5
14875627.0,13569895.3333333,16836161.5,16836161.5,14967010.8333333,17265678.8333333,13207470.6,18396370.8333333,14875627.0,14967010.8333333,14875627.0,18396370.8333333,17265678.8333333
81345182.8333333,91284367.6666667,104566636.666667,104566636.666667,107258174.5,101205411.833333,65477307.0,98025113.0,81345182.8333333,107258174.5,81345182.8333333,98025113.0,101205411.833333
,,24947581.0,24947581.0,28187085.5,18524651.5,17051200.0,29346784.25,0.0,28187085.5,,29346784.25,18524651.5
7160995.6,8403894.5,6321974.0,6321974.0,13486012.3333333,9593173.5,7470380.8,3930593.25,7160995.6,13486012.3333333,7160995.6,3930593.25,9593173.5
