VHL ligand 1,Nutlin-3,Serdemetan,VH298
76096690.8333333,76096690.8333333,33305297.25,44257237.3333333
9714189.4,9714189.4,15010665.0,12101594.4
0.0,,,
,,0.0,
7855236.33333333,7855236.33333333,8039443.5,7299442.0
29172467.0,,,
10926884.0,10926884.0,8521312.0,9356373.5
5831483.0,5831483.0,9804432.5,7095706.25
1272260430.83333,1272260430.83333,1487892611.66667,1284728275.83333
1905019570.83333,1905019570.83333,2024535713.0,1811049722.83333
7058094.8,7058094.8,19385997.3333333,16043432.5
13569895.3333333,13569895.3333333,14967010.8333333,17265678.8333333
91284367.6666667,91284367.6666667,107258174.5,101205411.833333
28911808.0,28911808.0,28187085.5,18524651.5
8403894.5,8403894.5,13486012.3333333,9593173.5
11038009.4,11038009.4,19674581.75,12153145.6666667
14917953.1666667,14917953.1666667,16327775.1666667,15008538.0
5220489.5,,,0.0
18899001.1666667,18899001.1666667,34274609.1666667,21182083.6666667
173418067.5,173418067.5,215994828.0,184985034.0
,,,
15517776.5,15517776.5,34146623.5,16104802.8333333
7766082.2,7766082.2,6887952.0,6667806.66666667
,,,
7051711.16666667,7051711.16666667,10742481.3333333,9995438.66666667
347070800.0,347070800.0,427049668.5,383132436.5
12574548.1666667,12574548.1666667,18976838.5,18808087.6666667
,6164723.0,,
,,,
15487413.8333333,15487413.8333333,27251139.5,16672591.6666667
21893325.5,21893325.5,17290315.0,24099291.2
12856147.8333333,12856147.8333333,14124420.0,12661894.0
,0.0,425093407.0,
26862504.8333333,26862504.8333333,23074260.3333333,19912676.1666667
,235697296.333333,254623429.333333,248170034.166667
282370258.833333,282370258.833333,386715436.666667,352721679.833333
5792338.16666667,5792338.16666667,9295369.0,6838398.0
16985866.8333333,16985866.8333333,15898371.1666667,11863445.1666667
20103208.0,20103208.0,20352229.3333333,16020893.6666667
5531027.33333333,5531027.33333333,6289548.0,6102722.0
2065039.5,,9100143.0,10693457.0
9325712.0,9325712.0,0.0,
3121552.0,3121552.0,,3849513.33333333
78923190.5,78923190.5,99523508.3333333,95195502.6666667
1023437385.0,1023437385.0,1400820980.66667,1188655730.66667
12145096.75,12145096.75,13867601.0,8781659.0
70171051.8333333,70171051.8333333,74038747.6666667,66743634.3333333
,,,
97607962.0,97607962.0,104634327.5,84049680.6666667
125333412.833333,125333412.833333,132805883.333333,110001838.833333
24460699.8333333,24460699.8333333,30454646.5,33713108.6666667
,,,
43593333.8333333,43593333.8333333,43515979.0,38877690.8333333
17599517.8333333,17599517.8333333,0.0,10962751.3333333
562921798.5,562921798.5,345116787.5,316814139.833333
5369532.0,5369532.0,,6275510.0
802672947.166667,802672947.166667,955357624.166667,924997614.0
5742615.5,5742615.5,7141952.0,8550021.0
29040317.5,29040317.5,25748604.0,28131231.8333333
6740566.5,6740566.5,0.0,8861850.0
81704401.6666667,81704401.6666667,39442274.0,68644907.0
40373125.3333333,40373125.3333333,71359322.0,40256600.1666667
24648636.6666667,24648636.6666667,5511710.0,24056617.6666667
,25213185.25,16027001.3333333,18549544.4
27232196.3333333,27232196.3333333,,36526700.8333333
4169242.0,4169242.0,0.0,
,,,
212275243.0,212275243.0,45577177.0,22295375.5
3721892.0,3721892.0,,3026728.0
15701664.3333333,15701664.3333333,24069311.8333333,25032702.6666667
4911808.6,4911808.6,6737949.5,6003311.33333333
24442834.3333333,24442834.3333333,28410509.0,25130145.6666667
26917343.6666667,26917343.6666667,34696907.8333333,29536712.6666667
10444528.5,10444528.5,,7334343.25
19817772.25,19817772.25,118150189.0,
8978713.0,8978713.0,6925822.0,11202365.5
68975547.1666667,68975547.1666667,68977495.8333333,58648214.0
,,16144510.0,
6639718.0,6639718.0,6494259.0,0.0
11418211.6666667,11418211.6666667,14059711.1666667,14249791.8
,,30930767.0,
5642776.25,5642776.25,9892374.0,6733911.75
66422751.3333333,66422751.3333333,91412017.8333333,79546929.3333333
14121051.5,14121051.5,6435557.5,9419345.25
0.0,0.0,,21960968.3333333
41896893.3333333,41896893.3333333,54856887.1666667,59428859.6666667
4385697997.83333,4385697997.83333,4179713279.33333,3933708484.83333
,5514930.0,6658916.0,5301328.5
71689321.6666667,71689321.6666667,54339177.1666667,46070569.0
16474280.0,16474280.0,0.0,0.0
155724002.666667,155724002.666667,166259123.833333,155673485.166667
3813334.0,3813334.0,4312219.5,3267024.4
57145333.5,57145333.5,57719248.3333333,53255708.1666667
,,,
0.0,,0.0,
70331702.6666667,70331702.6666667,111847124.166667,60079343.8333333
,,17339255.0,
12589658.8333333,12589658.8333333,11071826.0,14148311.0
28112072.8333333,28112072.8333333,64703100.8333333,60248595.5
11742319.0,11742319.0,23965925.3333333,26601448.8333333
1084254402.66667,1084254402.66667,1204270305.0,1147294839.83333
,,17925105.8333333,9314702.0
499218968.0,499218968.0,572810007.833333,505103823.166667
2010912.75,2010912.75,,
1063396188.5,1063396188.5,1036892021.0,1157417125.66667
1707091239.16667,1707091239.16667,1828187847.16667,1898116273.0
1586568993.83333,1586568993.83333,1914176748.83333,1555324628.83333
14532340.0,14532340.0,21350748.6,18399990.3333333
406583307.666667,406583307.666667,401098388.666667,429081902.5
77699018.6666667,77699018.6666667,94150498.6666667,115369772.833333
1747162626.5,1747162626.5,2127876562.83333,1935291522.5
284662454.833333,284662454.833333,338300279.166667,310639361.5
0.0,,,4927934.0
61863109.6666667,61863109.6666667,73606226.6666667,81349922.5
76295935.1666667,76295935.1666667,97433291.8333333,75200806.0
21857497.5,21857497.5,35321761.5,21251208.3333333
,16932200.0,,0.0
1239091705.33333,1239091705.33333,1489218293.0,1407397990.16667
294758648.166667,294758648.166667,279426014.666667,304886108.5
20946325.1666667,20946325.1666667,43851329.3333333,36488853.1666667
143041802.333333,143041802.333333,91344298.6666667,98191063.6666667
,,0.0,
9446030.6,9446030.6,8347576.2,
1933627727.5,1933627727.5,2330071178.5,2416805687.83333
2032646229.0,2032646229.0,1825271126.5,1982341916.5
398565035.666667,398565035.666667,443137787.333333,488790218.166667
269007903.666667,269007903.666667,257259692.666667,346767912.333333
53289403.3333333,53289403.3333333,80773582.5,69994903.0
88610307.3333333,88610307.3333333,120161185.166667,69608195.0
0.0,0.0,9468050.0,8561133.33333333
250975683.166667,250975683.166667,247685577.333333,244680874.166667
1078640706.66667,1078640706.66667,1308645381.16667,1232419970.83333
96079503.0,96079503.0,115613991.333333,100067527.333333
574028700.0,574028700.0,629914443.5,641961341.333333
40052362.1666667,40052362.1666667,55226427.6666667,32812380.5
10766522.1666667,10766522.1666667,4395072.0,14086807.6
5370313342.16667,5370313342.16667,5034972948.0,5611187047.5
1575909971.66667,1575909971.66667,1905810281.33333,1748771132.83333
22164564.3333333,22164564.3333333,17683572.0,25042353.1666667
30066922.8333333,30066922.8333333,29509795.5,27273184.5
221361.0,,90371046.5,0.0
56707279.5,56707279.5,60111608.5,59952541.1666667
98997789.8333333,98997789.8333333,142474948.0,135086043.5
3966552.0,3966552.0,5255302.0,9661903.5
46234763.0,46234763.0,84918820.6666667,62827837.0
9097315.83333333,9097315.83333333,13737872.1666667,15700004.4
,,,1498320.0
,3827711.25,6357789.0,6882850.4
3738611031.33333,3738611031.33333,4161815115.5,3856197253.5
131429613.333333,131429613.333333,156892747.0,119777380.0
26284384.3333333,26284384.3333333,27367205.4,25212366.6666667
2333626180.5,2333626180.5,1320864651.33333,1542031798.33333
,0.0,11520149.0,0.0
809138817.833333,809138817.833333,993924292.5,878725411.166667
1058234081.33333,1058234081.33333,1192300468.16667,1120427168.66667
141450182.166667,141450182.166667,154773872.666667,124837881.833333
30307147.6666667,30307147.6666667,44614709.6666667,44438537.0
6227310.33333333,6227310.33333333,,9823456.0
,,28617973.2,
16472401.6666667,16472401.6666667,18981309.2,18241692.0
8491729.5,8491729.5,,13160148.25
102447995.833333,102447995.833333,89769464.8333333,70320779.5
0.0,,,11681326.0
290349334.166667,290349334.166667,322627423.666667,305478653.5
8247515.0,8247515.0,,10080309.6666667
,,77332052.1666667,31011264.5
3315889.0,3315889.0,,
261213333.333333,261213333.333333,206936666.666667,176673333.333333
785629535.0,785629535.0,1135434244.33333,1043725184.0
25820967.5,25820967.5,52495607.0,29871173.8333333
177674427.166667,177674427.166667,190726344.833333,175062629.5
275219925.166667,275219925.166667,474839583.5,415704935.333333
20097268.3333333,20097268.3333333,22691962.8333333,18937139.3333333
22725457.6666667,22725457.6666667,26730487.3333333,27728121.0
,,,
28612948.3333333,28612948.3333333,31749260.0,30053535.1666667
37371863.0,37371863.0,54734355.0,58747860.8333333
419116347.5,419116347.5,477404350.333333,437828592.666667
47398039.8333333,47398039.8333333,62596496.8333333,48973148.5
363055960.5,363055960.5,360248606.333333,360267258.0
218854272.666667,218854272.666667,310230816.333333,282642713.833333
1982195081.33333,1982195081.33333,2501020541.83333,2284557323.16667
2160278763.83333,2160278763.83333,2807251534.16667,2539322812.0
34170925.0,34170925.0,37199455.8333333,38055990.3333333
5127606.4,5127606.4,0.0,3903111.5
,,0.0,9552198.0
2766359.66666667,2766359.66666667,,
