Entinostat,Mocetinostat,Romidepsin,Tacedinaline,Tucidinostat,Domatinostat,Pracinostat,Quisinostat,Vorinostat,AR-42,Belinostat,Citarinostat,Fimepinostat,Ricolinostat,Panobinostat,Givinostat,Tasquinimod,Nexturastat A,ACY738,Tubastatin A,Trichostatin-A,PCI-34051,ACY775,CHDI00465983,CHDI00390576,TMP195,TMP269,LMK235
33305297.25,69690061.0,645288930.333333,1061606442.0,69690061.0,162318408.5,645288930.333333,44257237.3333333,1061606442.0,,645288930.333333,33305297.25,,33305297.25,33305297.25,69690061.0,33305297.25,44257237.3333333,33305297.25,19124393.3333333,33305297.25,76096690.8333333,76096690.8333333,162318408.5,76096690.8333333,69690061.0,162318408.5,69690061.0
15010665.0,10222605.1666667,14464651.3333333,11965537.0,10222605.1666667,7353536.0,14464651.3333333,12101594.4,11965537.0,9714189.4,14464651.3333333,15010665.0,10222605.1666667,15010665.0,15010665.0,10222605.1666667,15010665.0,12101594.4,15010665.0,11851932.8333333,15010665.0,9714189.4,9714189.4,7353536.0,9714189.4,10222605.1666667,7353536.0,10222605.1666667
,,,,8016476.0,,,,0.0,0.0,,,,,,,,9705844.0,,0.0,0.0,,0.0,11428511.5,,,11428511.5,8016476.0
,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,
8039443.5,56080082.5,12495788.0,,56080082.5,,,,,7855236.33333333,,8039443.5,56080082.5,,,,8039443.5,7299442.0,8039443.5,,,7855236.33333333,7855236.33333333,7275480.0,7855236.33333333,56080082.5,,56080082.5
17297392.0,,0.0,,,,,,,29172467.0,0.0,,17491111.0,,,17491111.0,,,,24500129.3333333,,,,,29172467.0,,0.0,17491111.0
8521312.0,,11415811.0,17162064.0,17033315.0,0.0,11415811.0,9356373.5,17162064.0,10926884.0,11415811.0,8521312.0,17033315.0,8521312.0,8521312.0,17033315.0,8521312.0,9356373.5,8521312.0,14390369.0,8521312.0,10926884.0,10926884.0,0.0,10926884.0,17033315.0,0.0,17033315.0
9804432.5,5468862.0,,,,4524998.16666667,,7095706.25,,5831483.0,8705301.0,9804432.5,,9804432.5,,5468862.0,9804432.5,7095706.25,9804432.5,,9804432.5,5831483.0,5831483.0,4524998.16666667,5831483.0,5468862.0,4524998.16666667,5468862.0
1487892611.66667,1453462582.33333,1295815244.33333,1764280302.83333,1453462582.33333,1311261795.0,1295815244.33333,1284728275.83333,1764280302.83333,1272260430.83333,1295815244.33333,1487892611.66667,1453462582.33333,1487892611.66667,1487892611.66667,1453462582.33333,1487892611.66667,1284728275.83333,1487892611.66667,1148928796.33333,1487892611.66667,1272260430.83333,1272260430.83333,1311261795.0,1272260430.83333,1453462582.33333,1311261795.0,1453462582.33333
2024535713.0,1900529087.16667,1636173298.66667,2226484947.33333,1900529087.16667,1439786961.83333,1636173298.66667,1811049722.83333,2226484947.33333,1905019570.83333,1636173298.66667,2024535713.0,1900529087.16667,2024535713.0,2024535713.0,1900529087.16667,2024535713.0,1811049722.83333,2024535713.0,1465681164.33333,2024535713.0,1905019570.83333,1905019570.83333,1439786961.83333,1905019570.83333,1900529087.16667,1439786961.83333,1900529087.16667
