Geldanamycin,Tanespimycin
,19124393.3333333
11965537.0,11851932.8333333
,0.0
0.0,10113000.0
79945106.0,11450666.4
,24500129.3333333
,
,7398424.0
1764280302.83333,1148928796.33333
2226484947.33333,1465681164.33333
17809544.0,23090905.0
26855880.2,13207470.6
118916567.5,65477307.0
33209892.2,17051200.0
9027693.33333333,7470380.8
15455976.6666667,10543481.0
26631850.5,16603389.8333333
9845701.0,0.0
32058590.3333333,17338392.5
213460236.833333,135840031.666667
,
37171255.3333333,28180680.2
8069411.0,15555514.0
,
13425447.0,9466519.4
507105124.5,351743014.833333
23459980.0,15419373.8
0.0,
,
23876223.8333333,27080532.6
27308268.3333333,
20589591.0,9329761.83333333
586730388.0,
36851051.1666667,19853522.0
338651562.0,214956576.0
434653415.5,247923063.5
9256178.0,8055690.4
11074024.0,12048518.5
22543982.8333333,16024116.6666667
,6429787.0
0.0,7080117.0
,265908619.5
,
106936253.333333,74027796.5
1481100827.5,1115088665.83333
12957633.2,9233841.16666667
83596039.0,58925584.5
,0.0
101632244.166667,62989714.1666667
193999844.666667,114428046.5
33185573.0,35884528.1666667
,
52643148.8333333,36014887.3333333
10083374.0,7861928.0
226844138.333333,174384613.0
0.0,
1146032597.83333,858659672.666667
15126462.0,6421784.5
27223393.6,10946629.0
14909302.0,
91085118.5,38206143.2
64529265.8333333,63931213.8333333
27006263.8,13300489.0
,
37284677.8333333,32485410.6666667
,
,
,
,
27319367.3333333,24076786.0
6145493.0,4526680.0
33458287.5,31721752.3333333
35430987.6666667,33701429.8
13165052.4,9983169.75
63157398.0,36972472.3333333
12935688.25,43597377.0
92394581.5,63478348.8333333
,
,0.0
18514570.0,10431672.1666667
,15318364.0
6294711.5,
105513340.0,74252294.1666667
19342236.6666667,0.0
,
72356280.1666667,37760887.1666667
5631251008.83333,3484079947.0
6015838.66666667,0.0
68821584.2,61989969.3333333
,
190527700.666667,140030593.333333
8258018.75,
68143813.3333333,42887335.1666667
,
5694720.2,6108437.33333333
86827072.8333333,83406666.8333333
,
10822095.0,
52603817.6666667,55772597.0
19533245.75,27564857.1666667
1382155445.66667,1050950389.83333
13550645.3333333,16339228.75
667528363.5,440300329.166667
5736889.33333333,8890937.25
1063702557.5,672962063.166667
2572574676.0,2212062844.66667
1981159575.66667,1221880848.5
19317207.0,13527325.4
500365470.166667,300389117.833333
101388956.833333,75944466.6666667
2559746276.66667,1994327937.33333
467464958.166667,252638271.5
5877746.66666667,
73232280.8333333,53772968.3333333
88232867.3333333,84590646.1666667
35401678.3333333,
106115260.0,
1725676575.66667,982026025.166667
410910706.166667,229311802.0
33348691.0,69343259.8333333
137091558.333333,49553177.3333333
,0.0
13168420.6666667,8995455.2
2674709214.66667,2015846009.0
2000321894.0,1110806765.0
476726153.0,345217352.166667
298135357.5,279222246.333333
82617938.3333333,62445824.3333333
121095352.666667,92515271.5
15161750.0,9878875.0
259920342.833333,225061034.166667
1300848127.5,1042376295.33333
124137650.333333,81622640.8333333
718947911.666667,431066231.833333
51401034.1666667,32563536.6666667
13217314.8333333,11453651.0
5849177827.0,4172873313.16667
2086569563.33333,1693403772.83333
24579385.0,16738609.0
32698179.8333333,19464105.5
,56013151.5
77514281.6666667,61454040.8333333
127676304.666667,123636587.0
10605195.3333333,11069455.0
202444341.5,68096393.0
19429797.5,11394833.6666667
0.0,1282044.5
10102740.0,7614643.0
4628445106.0,3173711248.66667
143848456.666667,116824293.333333
25241875.5,18199234.1666667
1891394438.66667,1570013970.16667
,
1156155731.5,740624652.833333
1393830501.5,889714494.0
180684869.0,117065205.166667
48128316.3333333,37404981.1666667
9155727.66666667,6600661.0
0.0,2644220.25
21652893.5,18939876.25
12432046.2,7734758.5
118653052.5,75258349.3333333
0.0,8137891.5
392558861.833333,294237681.5
,15204690.0
41133134.6666667,102699774.333333
3998138.0,
229670000.0,124453333.333333
1361539033.16667,974435925.5
33541985.5,78693939.1666667
151605776.0,127262253.666667
471645131.166667,443470635.166667
27438956.0,17815357.2
38308923.6666667,24231691.3333333
,
38624047.3333333,25626827.6666667
76688655.3333333,48529109.3333333
549657673.0,425366834.833333
75203881.1666667,43257852.6
485994076.166667,213461735.5
364302656.833333,300296860.666667
2815279894.16667,2113693364.33333
3122815249.0,2170889826.0
37060106.0,32339378.0
,
,
2170484.0,750031.0
24208565.0,21508027.0
749917774.0,548777365.833333
18443194.6666667,14129194.6666667
41824596.3333333,26704976.1666667
1038224422.66667,671005831.833333
48067414.6666667,73247741.1666667
52896884.3333333,21772470.5
48022122.8333333,43920237.8333333
,
68836956.3333333,51174799.1666667
545574378.333333,386520432.333333
47466479.8333333,52243911.1666667
1279338685.5,903352816.166667
,
,
76694041.1666667,48735744.6666667
,8848494.0
44149974.8333333,29830498.1666667
210556865.666667,208611770.833333
36179386.1666667,49194260.6666667
1277190915.16667,1020241128.16667
317030656.0,252786150.0
74325841.0,45182335.6666667
,6072709.5
230290571.333333,207406952.666667
1340699252.5,826423962.5
12494510.8333333,5832416.25
,
18162600.0,37308500.0
,0.0
480452657.666667,415806200.166667
,17142435.8
4135205.5,2496208.5
95807663.3333333,115839605.166667
22269742.5,18515048.3333333
71968372.1666667,27559251.8333333
1141463724.16667,840504701.5
105354697.5,84760577.3333333
69774685.6666667,48345895.0
84380472.0,102143186.666667
15972132.0,16053001.2
76624266.5,48373094.8333333
762326764.833333,578517416.833333
9761073.0,5883023.0
,11135364.0
36623218.1666667,37300711.6666667
99448460.6666667,115758418.666667
,7025194.5
13512911.75,9078906.0
,
0.0,
49588540.8333333,54605194.8333333
32502492.0,24648417.0
,56102799.5
107995335.333333,118217248.333333
36246772.6666667,39346831.1666667
29782434.0,20585795.0
605407602.5,445013782.5
2596526788.83333,1785561499.5
1202128828.0,1047603341.83333
332539334.166667,200276446.833333
12588371.0,10090056.4
167270209.8,131597255.0
182923176.333333,164136596.5
21516034.5,14459828.1666667
906649230.0,649634421.333333
68254948.3333333,55921649.3333333
0.0,
521003084.0,466846473.5
44381110.8333333,25978905.6666667
266664343.5,212972503.166667
,2785323.0
1267901675.0,790068764.333333
867602060.0,570611703.166667
10110816.3333333,2889793.33333333
55346577.3333333,36834971.2
,0.0
10420351.4,9709689.5
27308152.8,21566520.1666667
3614973.0,7973182.0
60439641.8333333,64049913.0
105519813.166667,35098029.1666667
79018918.0,43782536.6666667
129363083.166667,163443753.0
0.0,0.0
123874973.833333,87522058.5
7027171.0,
318330100.666667,116422518.166667
2672177008.16667,1697577459.83333
401619401.333333,249517626.166667
24716680.1666667,16575688.6666667
296241330.0,155806599.0
3414122301.0,2143771939.5
157133384.5,159366266.333333
115393300.166667,65947503.8
34188184.5,
91191877.3333333,55811701.5
98684568.8333333,64289449.3333333
457616230.166667,376488998.0
61996966.6666667,54989698.0
562232794.666667,400205784.166667
146037743.0,
11397082.3333333,10810035.0
2919514237.16667,2201275451.33333
2774795893.0,2024432263.0
550182639.5,396100837.333333
5919199.0,35886368.0
63639500.1666667,36116076.3333333
20485098.3333333,23684205.6666667
161483021.166667,100027329.666667
,5850951.5
899729724.166667,636835757.166667
12610263.0,15351657.0
,
20529781.6,10221771.5
28835756.6666667,23288814.0
1317896992.83333,830633446.5
164824922.5,115545216.0
41006749.4,31490489.3333333
0.0,4262176.0
90902622.1666667,83253296.5
,
0.0,0.0
5473280.66666667,7389583.0
,
27193746.8333333,30209711.0
5000847918.16667,3012693033.5
12434372.0,12719642.3333333
32773629.8,32454757.0
403178839.0,304451534.166667
17053100.0,16520623.3333333
48890633.0,31707623.8333333
172237989.833333,156152970.5
146827094.666667,78751699.8333333
1201418836.33333,661014465.5
24890447.75,21369059.5
,0.0
60846266.4,44223197.3333333
47334116.3333333,46451816.0
598872479.166667,353500089.166667
1608933890.83333,1264018745.5
1410354173.83333,1409804648.66667
146505048.166667,195954980.5
10535986.6666667,5970215.0
239821172.666667,101121213.333333
311805187.833333,233294238.5
16290606.5,17595369.6666667
13946887.0,8569213.0
4913996.0,2830641.0
357193691.166667,269671284.666667
21103292.0,33783352.1666667
5370505.8,5818733.75
732628568.5,479914973.666667
465802467.166667,343346282.333333
156099670.333333,149698550.166667
470042182.166667,342663080.166667
232495347.5,0.0
20756576.0,573081855.333333
