Thalidomide,Iberdomide,Lenalidomide,Pomalidomide
19124393.3333333,19124393.3333333,1061606442.0,645288930.333333
11851932.8333333,11851932.8333333,11965537.0,14464651.3333333
,,,
,,,0.0
11450666.4,11450666.4,,
,24500129.3333333,,
,,17162064.0,
7398424.0,7398424.0,,
1148928796.33333,1148928796.33333,1764280302.83333,1295815244.33333
1465681164.33333,1465681164.33333,2226484947.33333,1636173298.66667
23090905.0,23090905.0,17809544.0,32897728.3333333
13207470.6,13207470.6,26855880.2,14875627.0
65477307.0,65477307.0,118916567.5,81345182.8333333
17051200.0,17051200.0,33209892.2,
7470380.8,7470380.8,9027693.33333333,7160995.6
10543481.0,10543481.0,15455976.6666667,10865818.0
16603389.8333333,16603389.8333333,26631850.5,17431304.1666667
,,9845701.0,0.0
17338392.5,17338392.5,32058590.3333333,21369380.5
135840031.666667,135840031.666667,213460236.833333,139726442.333333
,,,
28180680.2,28180680.2,,33617827.0
,,,58080548.0
,,1821801.0,2317150.5
9466519.4,9466519.4,13425447.0,6887965.5
351743014.833333,351743014.833333,507105124.5,365752344.5
15419373.8,15419373.8,23459980.0,19612037.6666667
0.0,,0.0,
,,0.0,
27080532.6,27080532.6,23876223.8333333,26812220.8333333
,24893825.0,27308268.3333333,
9329761.83333333,9329761.83333333,20589591.0,9599571.2
229058811.0,,,431013225.0
19853522.0,19853522.0,36851051.1666667,19935155.4
214956576.0,214956576.0,338651562.0,214038180.833333
247923063.5,247923063.5,434653415.5,267159869.5
8055690.4,8055690.4,9256178.0,7235848.5
12048518.5,12048518.5,11074024.0,14360983.6666667
16024116.6666667,16024116.6666667,22543982.8333333,17374293.1666667
6429787.0,6429787.0,12708949.3333333,11402368.0
7080117.0,7080117.0,0.0,0.0
265908619.5,265908619.5,,0.0
6814897.0,,,10124019.0
74027796.5,74027796.5,106936253.333333,65908210.8333333
1115088665.83333,1115088665.83333,1481100827.5,1135370959.33333
9233841.16666667,9233841.16666667,12957633.2,12531240.6
58925584.5,58925584.5,83596039.0,63429060.3333333
0.0,0.0,0.0,0.0
62989714.1666667,62989714.1666667,101632244.166667,59867271.6666667
114428046.5,114428046.5,193999844.666667,132969308.5
35884528.1666667,35884528.1666667,33185573.0,43905243.3333333
,,,
36014887.3333333,36014887.3333333,52643148.8333333,38390240.3333333
7861928.0,,10083374.0,0.0
174384613.0,174384613.0,226844138.333333,186014136.666667
0.0,0.0,,0.0
858659672.666667,858659672.666667,1146032597.83333,903207519.333333
6421784.5,6421784.5,15126462.0,8340205.0
10946629.0,10946629.0,27223393.6,15218472.6
,,,
38206143.2,38206143.2,91085118.5,33633384.3333333
63931213.8333333,63931213.8333333,64529265.8333333,64066938.1666667
13300489.0,13300489.0,27006263.8,0.0
,,12464580.0,71164752.0
32485410.6666667,32485410.6666667,37284677.8333333,34850522.5
,,0.0,
,,,
0.0,0.0,,15388474.0
,0.0,2095443.0,0.0
24076786.0,24076786.0,27319367.3333333,25691367.3333333
4526680.0,4526680.0,6145493.0,8241250.0
31721752.3333333,31721752.3333333,33458287.5,25399445.3333333
33701429.8,33701429.8,35430987.6666667,24236288.5
9983169.75,9983169.75,13165052.4,8862040.0
36972472.3333333,36972472.3333333,,
43597377.0,43597377.0,12935688.25,23577670.0
63478348.8333333,63478348.8333333,92394581.5,66462963.8333333
14592436.0,,,17284913.0
,0.0,,0.0
10431672.1666667,10431672.1666667,18514570.0,12331227.75
15318364.0,15318364.0,,357520.0
9195937.33333333,9195937.33333333,6294711.5,8889198.5
74252294.1666667,74252294.1666667,105513340.0,77860811.6666667
0.0,0.0,19342236.6666667,
,,,
37760887.1666667,37760887.1666667,72356280.1666667,45897952.6666667
3484079947.0,3484079947.0,5631251008.83333,3793620752.66667
0.0,0.0,6015838.66666667,
61989969.3333333,61989969.3333333,68821584.2,68505307.6
0.0,0.0,,67308271.6
140030593.333333,140030593.333333,190527700.666667,141949784.833333
,,8258018.75,
42887335.1666667,42887335.1666667,68143813.3333333,44905523.8333333
,,0.0,3629279.0
6108437.33333333,6108437.33333333,5694720.2,2845285.25
83406666.8333333,83406666.8333333,86827072.8333333,90481840.1666667
,,,
,,10822095.0,13593891.0
55772597.0,55772597.0,52603817.6666667,63084986.3333333
27564857.1666667,27564857.1666667,19533245.75,28139204.8333333
1050950389.83333,1050950389.83333,1382155445.66667,1019671840.83333
16339228.75,16339228.75,13550645.3333333,14002784.4
440300329.166667,440300329.166667,667528363.5,453595035.333333
8890937.25,8890937.25,5736889.33333333,
672962063.166667,672962063.166667,1063702557.5,777728749.833333
2212062844.66667,2212062844.66667,2572574676.0,2217601824.5
1221880848.5,1221880848.5,1981159575.66667,1428208994.0
13527325.4,13527325.4,19317207.0,13508142.0
300389117.833333,300389117.833333,500365470.166667,294844628.166667
75944466.6666667,75944466.6666667,101388956.833333,85483403.5
1994327937.33333,1994327937.33333,2559746276.66667,2124433317.16667
252638271.5,252638271.5,467464958.166667,283767155.833333
,0.0,5877746.66666667,
53772968.3333333,53772968.3333333,73232280.8333333,67403866.3333333
84590646.1666667,84590646.1666667,88232867.3333333,94312669.0
,19339287.0,35401678.3333333,21537278.25
,0.0,,
982026025.166667,982026025.166667,1725676575.66667,1063995234.0
229311802.0,229311802.0,410910706.166667,238765124.0
69343259.8333333,69343259.8333333,33348691.0,65851689.3333333
49553177.3333333,49553177.3333333,137091558.333333,65985134.5
0.0,,,
8995455.2,8995455.2,13168420.6666667,9643258.6
2015846009.0,2015846009.0,2674709214.66667,2094041035.0
1110806765.0,1110806765.0,2000321894.0,1264216967.83333
345217352.166667,345217352.166667,476726153.0,381666313.5
279222246.333333,279222246.333333,298135357.5,326207925.333333
62445824.3333333,62445824.3333333,82617938.3333333,78802673.8333333
92515271.5,92515271.5,121095352.666667,74041339.8333333
9878875.0,9878875.0,,13163500.0
225061034.166667,225061034.166667,259920342.833333,199969974.666667
1042376295.33333,1042376295.33333,1300848127.5,1078620184.16667
81622640.8333333,81622640.8333333,124137650.333333,86246172.5
431066231.833333,431066231.833333,718947911.666667,462383034.833333
32563536.6666667,32563536.6666667,51401034.1666667,16386678.1666667
11453651.0,11453651.0,13217314.8333333,11245121.6
4172873313.16667,4172873313.16667,5849177827.0,4650025960.0
1693403772.83333,1693403772.83333,2086569563.33333,1588622402.83333
16738609.0,16738609.0,24579385.0,20272067.0
19464105.5,19464105.5,32698179.8333333,21160672.6666667
56013151.5,56013151.5,129931435.0,128712432.0
61454040.8333333,61454040.8333333,77514281.6666667,52124197.1666667
123636587.0,123636587.0,127676304.666667,143392876.5
11069455.0,11069455.0,10605195.3333333,8957776.5
68096393.0,68096393.0,202444341.5,70749246.1666667
11394833.6666667,11394833.6666667,19429797.5,18174261.5
,1282044.5,0.0,
7614643.0,7614643.0,10102740.0,6044860.75
3173711248.66667,3173711248.66667,4628445106.0,3336950257.83333
116824293.333333,116824293.333333,143848456.666667,119858390.5
18199234.1666667,18199234.1666667,25241875.5,18514097.0
1570013970.16667,1570013970.16667,1891394438.66667,1443211547.83333
0.0,,0.0,
740624652.833333,740624652.833333,1156155731.5,779777558.333333
889714494.0,889714494.0,1393830501.5,861890320.5
117065205.166667,117065205.166667,180684869.0,145086020.666667
37404981.1666667,37404981.1666667,48128316.3333333,41828259.3333333
6600661.0,,9155727.66666667,4950990.0
2644220.25,2644220.25,,
18939876.25,18939876.25,21652893.5,22577329.6
7734758.5,7734758.5,12432046.2,7967129.0
75258349.3333333,75258349.3333333,118653052.5,81491803.3333333
8137891.5,8137891.5,0.0,3677434.0
294237681.5,294237681.5,392558861.833333,326000754.5
15204690.0,15204690.0,8219686.0,6691244.0
102699774.333333,102699774.333333,41133134.6666667,76206737.6666667
,0.0,3998138.0,3699811.0
124453333.333333,124453333.333333,229670000.0,129320000.0
974435925.5,974435925.5,1361539033.16667,1071022322.83333
78693939.1666667,78693939.1666667,33541985.5,73505918.3333333
127262253.666667,127262253.666667,151605776.0,133066552.166667
443470635.166667,443470635.166667,471645131.166667,450172904.5
17815357.2,17815357.2,27438956.0,17936527.1666667
24231691.3333333,24231691.3333333,38308923.6666667,28951359.0
,0.0,,
25626827.6666667,25626827.6666667,38624047.3333333,55422666.0
48529109.3333333,48529109.3333333,76688655.3333333,47854036.0
425366834.833333,425366834.833333,549657673.0,454242607.666667
43257852.6,43257852.6,75203881.1666667,53040660.1666667
213461735.5,213461735.5,485994076.166667,240467784.166667
300296860.666667,300296860.666667,364302656.833333,328244707.5
2113693364.33333,2113693364.33333,2815279894.16667,2168843477.5
2170889826.0,2170889826.0,3122815249.0,2281262063.83333
32339378.0,32339378.0,37060106.0,20264800.5
,,0.0,
,,,0.0
750031.0,750031.0,2170484.0,0.0
21508027.0,21508027.0,24208565.0,21787609.6666667
548777365.833333,548777365.833333,749917774.0,528450191.166667
14129194.6666667,14129194.6666667,18443194.6666667,14154344.75
26704976.1666667,26704976.1666667,41824596.3333333,26117123.3333333
671005831.833333,671005831.833333,1038224422.66667,720779522.0
73247741.1666667,73247741.1666667,48067414.6666667,73819206.1666667
21772470.5,21772470.5,52896884.3333333,27114258.2
43920237.8333333,43920237.8333333,48022122.8333333,51614483.5
0.0,,,
51174799.1666667,51174799.1666667,68836956.3333333,53884895.0
386520432.333333,386520432.333333,545574378.333333,430426456.166667
52243911.1666667,52243911.1666667,47466479.8333333,58821123.1666667
903352816.166667,903352816.166667,1279338685.5,989810684.0
0.0,,,
,,,
48735744.6666667,48735744.6666667,76694041.1666667,47628929.6666667
8848494.0,8848494.0,,
29830498.1666667,29830498.1666667,44149974.8333333,28575367.6666667
208611770.833333,208611770.833333,210556865.666667,184563210.666667
49194260.6666667,49194260.6666667,36179386.1666667,54381747.6666667
1020241128.16667,1020241128.16667,,1041205990.0
252786150.0,252786150.0,317030656.0,261949900.0
45182335.6666667,45182335.6666667,74325841.0,43669745.0
6072709.5,6072709.5,13768978.0,6492173.5
207406952.666667,207406952.666667,230290571.333333,209958627.0
826423962.5,826423962.5,1340699252.5,874559731.666667
5832416.25,5832416.25,12494510.8333333,6801143.33333333
,0.0,,
37308500.0,37308500.0,18162600.0,32549000.0
0.0,,0.0,
415806200.166667,415806200.166667,480452657.666667,419525962.5
17142435.8,17142435.8,,23075534.6666667
2496208.5,2496208.5,4135205.5,3664704.0
115839605.166667,115839605.166667,95807663.3333333,113988955.5
18515048.3333333,18515048.3333333,22269742.5,17814785.2
27559251.8333333,27559251.8333333,71968372.1666667,33499060.8333333
840504701.5,840504701.5,1141463724.16667,978817392.0
84760577.3333333,84760577.3333333,105354697.5,108632152.5
48345895.0,48345895.0,69774685.6666667,58449017.3333333
102143186.666667,102143186.666667,84380472.0,155463190.5
16053001.2,16053001.2,15972132.0,23727603.3333333
48373094.8333333,48373094.8333333,76624266.5,50658379.5
578517416.833333,578517416.833333,762326764.833333,557377208.333333
,,,
,11135364.0,0.0,
37300711.6666667,37300711.6666667,36623218.1666667,30468589.6666667
115758418.666667,115758418.666667,99448460.6666667,113601463.0
7025194.5,7025194.5,0.0,
9078906.0,9078906.0,13512911.75,8558478.0
0.0,,0.0,
,0.0,,
