GSK2879552,Iadademstat,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat
76096690.8333333,33305297.25,162318408.5,19124393.3333333,1061606442.0,69690061.0,
9714189.4,15010665.0,7353536.0,11851932.8333333,11965537.0,10222605.1666667,14464651.3333333
,,11428511.5,,,,
,0.0,,,,,
7855236.33333333,8039443.5,7275480.0,11450666.4,,56080082.5,
29172467.0,,0.0,24500129.3333333,0.0,,
10926884.0,8521312.0,,14390369.0,17162064.0,17033315.0,11415811.0
5831483.0,9804432.5,4524998.16666667,7398424.0,,5468862.0,8705301.0
1272260430.83333,1487892611.66667,1311261795.0,1148928796.33333,1764280302.83333,1453462582.33333,1295815244.33333
1905019570.83333,2024535713.0,1439786961.83333,1465681164.33333,2226484947.33333,1900529087.16667,1636173298.66667
7058094.8,19385997.3333333,6219153.0,23090905.0,17809544.0,14731541.0,32897728.3333333
13569895.3333333,14967010.8333333,18396370.8333333,13207470.6,26855880.2,16836161.5,14875627.0
91284367.6666667,107258174.5,98025113.0,65477307.0,118916567.5,104566636.666667,81345182.8333333
28911808.0,,29346784.25,17051200.0,33209892.2,24947581.0,0.0
8403894.5,13486012.3333333,3930593.25,7470380.8,9027693.33333333,6321974.0,7160995.6
11038009.4,19674581.75,9650726.33333333,10543481.0,15455976.6666667,15076928.6666667,10865818.0
14917953.1666667,16327775.1666667,11367154.6666667,16603389.8333333,26631850.5,18136335.3333333,17431304.1666667
5220489.5,,,0.0,9845701.0,7306996.0,0.0
18899001.1666667,34274609.1666667,20569927.25,17338392.5,32058590.3333333,24903917.3333333,21369380.5
173418067.5,215994828.0,223537775.333333,135840031.666667,213460236.833333,188230174.666667,139726442.333333
,0.0,,,,,
15517776.5,34146623.5,18874971.5,28180680.2,37171255.3333333,36365977.3333333,33617827.0
7766082.2,6887952.0,0.0,15555514.0,,2769679.0,
1582478.0,,0.0,0.0,1821801.0,9197689.0,2317150.5
7051711.16666667,10742481.3333333,7867405.75,9466519.4,13425447.0,8906802.75,6887965.5
347070800.0,427049668.5,397046670.0,351743014.833333,507105124.5,428566237.5,365752344.5
12574548.1666667,18976838.5,20273705.1666667,15419373.8,23459980.0,18372977.3333333,19612037.6666667
6164723.0,,7740102.5,,,5824751.0,
5834726.0,,,,,0.0,0.0
15487413.8333333,27251139.5,29229327.5,27080532.6,23876223.8333333,17910153.5,26812220.8333333
21893325.5,,28730187.0,,27308268.3333333,19174667.3333333,0.0
12856147.8333333,14124420.0,14862729.1666667,9329761.83333333,20589591.0,16386028.25,9599571.2
,425093407.0,,,,,431013225.0
26862504.8333333,23074260.3333333,12974924.0,19853522.0,36851051.1666667,23699097.5,19935155.4
235697296.333333,254623429.333333,212542347.666667,214956576.0,338651562.0,261617467.5,214038180.833333
282370258.833333,386715436.666667,409007142.833333,247923063.5,434653415.5,353263592.0,267159869.5
5792338.16666667,9295369.0,4495965.5,8055690.4,9256178.0,7926957.33333333,7235848.5
16985866.8333333,15898371.1666667,9216907.33333333,12048518.5,11074024.0,11976260.6666667,14360983.6666667
20103208.0,20352229.3333333,13480287.1666667,16024116.6666667,22543982.8333333,17910126.6666667,17374293.1666667
5531027.33333333,6289548.0,2546923.5,6429787.0,12708949.3333333,7129015.75,11402368.0
,9100143.0,4644261.0,,0.0,,0.0
9325712.0,0.0,1482787.66666667,,,3346378.0,0.0
3121552.0,13660622.0,,6814897.0,0.0,,
78923190.5,99523508.3333333,71177446.0,74027796.5,106936253.333333,89341611.3333333,65908210.8333333
1023437385.0,1400820980.66667,1169586050.83333,1115088665.83333,1481100827.5,1312649995.33333,1135370959.33333
12145096.75,13867601.0,7419523.33333333,9233841.16666667,12957633.2,12989948.8333333,12531240.6
70171051.8333333,74038747.6666667,85039847.6666667,58925584.5,83596039.0,72068479.1666667,63429060.3333333
,,0.0,0.0,,,0.0
97607962.0,104634327.5,176767739.333333,62989714.1666667,101632244.166667,93775661.8333333,59867271.6666667
125333412.833333,132805883.333333,149369165.833333,114428046.5,193999844.666667,190266273.5,132969308.5
24460699.8333333,30454646.5,17915308.8333333,35884528.1666667,33185573.0,37794885.0,43905243.3333333
,0.0,,,0.0,,
43593333.8333333,43515979.0,47312924.6666667,36014887.3333333,52643148.8333333,41800587.6666667,38390240.3333333
17599517.8333333,0.0,6667262.66666667,,10083374.0,10244860.6666667,0.0
562921798.5,345116787.5,448705340.5,174384613.0,226844138.333333,198755917.166667,186014136.666667
5369532.0,,,0.0,,,0.0
802672947.166667,955357624.166667,876441407.833333,858659672.666667,1146032597.83333,980865709.166667,903207519.333333
5742615.5,7141952.0,7142287.75,6421784.5,15126462.0,8326988.5,8340205.0
29040317.5,25748604.0,22070482.8333333,10946629.0,27223393.6,24293542.8333333,15218472.6
6740566.5,,27198665.0,0.0,,5796057.0,
81704401.6666667,39442274.0,103185588.166667,38206143.2,91085118.5,67483634.4,33633384.3333333
40373125.3333333,71359322.0,58251395.0,63931213.8333333,64529265.8333333,71161041.6666667,64066938.1666667
24648636.6666667,,25158727.6666667,13300489.0,27006263.8,23825519.8,0.0
25213185.25,16027001.3333333,23903054.6666667,4248351.5,12464580.0,17028925.6666667,71164752.0
27232196.3333333,,46178582.4,32485410.6666667,37284677.8333333,34061427.3333333,34850522.5
4169242.0,0.0,,,,0.0,
,,,,,,
212275243.0,45577177.0,20487506.75,,32949903.0,0.0,15388474.0
,,,0.0,,,0.0
15701664.3333333,24069311.8333333,19279325.1666667,24076786.0,27319367.3333333,27828487.5,25691367.3333333
4911808.6,6737949.5,8011859.5,,6145493.0,3847494.0,8241250.0
24442834.3333333,28410509.0,26074041.3333333,31721752.3333333,33458287.5,31505584.3333333,25399445.3333333
26917343.6666667,34696907.8333333,29212497.3333333,33701429.8,35430987.6666667,29056722.5,24236288.5
10444528.5,0.0,24668821.6666667,9983169.75,13165052.4,10629723.0,
