Paclitaxel,CHM-1,Nocodazole,Colchicine,Vincristine
44257237.3333333,19124393.3333333,,33305297.25,76096690.8333333
12101594.4,11851932.8333333,10222605.1666667,15010665.0,9714189.4
,0.0,,,
,,,,
7299442.0,11450666.4,,,
,24500129.3333333,17491111.0,17297392.0,
9356373.5,14390369.0,17033315.0,,10926884.0
,7398424.0,,,
1284728275.83333,1148928796.33333,1453462582.33333,1487892611.66667,1272260430.83333
1811049722.83333,1465681164.33333,1900529087.16667,2024535713.0,1905019570.83333
16043432.5,23090905.0,14731541.0,19385997.3333333,7058094.8
17265678.8333333,13207470.6,,14967010.8333333,13569895.3333333
101205411.833333,65477307.0,104566636.666667,107258174.5,91284367.6666667
18524651.5,,24947581.0,28187085.5,28911808.0
9593173.5,7470380.8,6321974.0,13486012.3333333,8403894.5
12153145.6666667,10543481.0,15076928.6666667,19674581.75,11038009.4
15008538.0,16603389.8333333,18136335.3333333,16327775.1666667,14917953.1666667
0.0,0.0,,,5220489.5
21182083.6666667,17338392.5,24903917.3333333,34274609.1666667,18899001.1666667
184985034.0,135840031.666667,188230174.666667,215994828.0,173418067.5
,,,,
16104802.8333333,28180680.2,36365977.3333333,34146623.5,15517776.5
,15555514.0,2769679.0,,7766082.2
,0.0,,1716501.0,1582478.0
9995438.66666667,9466519.4,8906802.75,10742481.3333333,7051711.16666667
383132436.5,351743014.833333,428566237.5,427049668.5,347070800.0
18808087.6666667,15419373.8,18372977.3333333,18976838.5,12574548.1666667
,,5824751.0,3724554.0,6164723.0
5561117.66666667,,,,5834726.0
16672591.6666667,27080532.6,17910153.5,27251139.5,15487413.8333333
24099291.2,,19174667.3333333,17290315.0,21893325.5
12661894.0,9329761.83333333,16386028.25,14124420.0,12856147.8333333
540178296.0,,,425093407.0,
19912676.1666667,19853522.0,23699097.5,23074260.3333333,26862504.8333333
248170034.166667,214956576.0,261617467.5,254623429.333333,235697296.333333
352721679.833333,247923063.5,353263592.0,386715436.666667,282370258.833333
6838398.0,8055690.4,7926957.33333333,9295369.0,5792338.16666667
11863445.1666667,12048518.5,11976260.6666667,15898371.1666667,16985866.8333333
16020893.6666667,16024116.6666667,17910126.6666667,20352229.3333333,20103208.0
6102722.0,6429787.0,7129015.75,6289548.0,5531027.33333333
,,,,2065039.5
,265908619.5,,,
,6814897.0,15949589.0,,3121552.0
95195502.6666667,74027796.5,89341611.3333333,99523508.3333333,78923190.5
1188655730.66667,1115088665.83333,1312649995.33333,1400820980.66667,1023437385.0
8781659.0,9233841.16666667,12989948.8333333,13867601.0,12145096.75
66743634.3333333,58925584.5,72068479.1666667,74038747.6666667,70171051.8333333
,,,,
84049680.6666667,62989714.1666667,93775661.8333333,104634327.5,97607962.0
110001838.833333,114428046.5,190266273.5,132805883.333333,125333412.833333
33713108.6666667,35884528.1666667,37794885.0,30454646.5,24460699.8333333
,,,,
38877690.8333333,36014887.3333333,41800587.6666667,43515979.0,43593333.8333333
10962751.3333333,7861928.0,10244860.6666667,0.0,17599517.8333333
316814139.833333,174384613.0,198755917.166667,345116787.5,562921798.5
6275510.0,,,,5369532.0
924997614.0,858659672.666667,980865709.166667,955357624.166667,802672947.166667
,6421784.5,,7141952.0,5742615.5
28131231.8333333,10946629.0,24293542.8333333,25748604.0,29040317.5
8861850.0,,5796057.0,,6740566.5
68644907.0,38206143.2,67483634.4,39442274.0,81704401.6666667
40256600.1666667,63931213.8333333,71161041.6666667,71359322.0,40373125.3333333
,13300489.0,23825519.8,5511710.0,24648636.6666667
18549544.4,4248351.5,17028925.6666667,16027001.3333333,25213185.25
36526700.8333333,32485410.6666667,34061427.3333333,,27232196.3333333
7218867.0,,,,
,,,,
22295375.5,0.0,,,212275243.0
3026728.0,,,1917343.0,3721892.0
25032702.6666667,24076786.0,27828487.5,24069311.8333333,15701664.3333333
6003311.33333333,,3847494.0,6737949.5,4911808.6
25130145.6666667,31721752.3333333,31505584.3333333,28410509.0,24442834.3333333
29536712.6666667,33701429.8,29056722.5,34696907.8333333,26917343.6666667
7334343.25,9983169.75,10629723.0,0.0,10444528.5
19400041.0,36972472.3333333,16020173.0,118150189.0,19817772.25
11202365.5,43597377.0,13685086.0,6925822.0,8978713.0
58648214.0,63478348.8333333,71528859.0,68977495.8333333,68975547.1666667
0.0,14592436.0,,16144510.0,
,,0.0,6494259.0,6639718.0
14249791.8,10431672.1666667,12779388.0,14059711.1666667,11418211.6666667
0.0,15318364.0,32667158.0,30930767.0,10620084.0
6733911.75,9195937.33333333,7934752.0,9892374.0,5642776.25
79546929.3333333,74252294.1666667,87845381.6666667,91412017.8333333,66422751.3333333
9419345.25,0.0,14610429.6666667,6435557.5,14121051.5
21960968.3333333,9990240.0,,,
59428859.6666667,37760887.1666667,61431827.0,54856887.1666667,41896893.3333333
3933708484.83333,3484079947.0,4745758139.0,4179713279.33333,4385697997.83333
,,5476893.0,6658916.0,
46070569.0,61989969.3333333,52036120.0,54339177.1666667,71689321.6666667
,0.0,63791451.0,0.0,
155673485.166667,140030593.333333,169215726.0,166259123.833333,155724002.666667
3267024.4,,7701356.0,,3813334.0
53255708.1666667,42887335.1666667,63143090.5,57719248.3333333,57145333.5
,0.0,,,
,6108437.33333333,1982641.33333333,0.0,
60079343.8333333,83406666.8333333,69314414.6666667,111847124.166667,70331702.6666667
,,,17339255.0,
14148311.0,,,,12589658.8333333
60248595.5,55772597.0,42110743.0,64703100.8333333,28112072.8333333
26601448.8333333,27564857.1666667,17971771.0,23965925.3333333,11742319.0
1147294839.83333,1050950389.83333,1110607059.66667,1204270305.0,1084254402.66667
9314702.0,16339228.75,16481553.3333333,17925105.8333333,6307029.0
505103823.166667,440300329.166667,573353328.5,572810007.833333,499218968.0
,8890937.25,5194388.66666667,6068208.0,2010912.75
1157417125.66667,672962063.166667,964148470.666667,1036892021.0,1063396188.5
1898116273.0,2212062844.66667,2418556799.0,1828187847.16667,1707091239.16667
1555324628.83333,1221880848.5,1663936135.66667,1914176748.83333,1586568993.83333
18399990.3333333,13527325.4,15801449.0,21350748.6,14532340.0
429081902.5,300389117.833333,464307200.333333,401098388.666667,406583307.666667
115369772.833333,75944466.6666667,92046420.1666667,94150498.6666667,77699018.6666667
1935291522.5,1994327937.33333,2311689430.16667,2127876562.83333,1747162626.5
310639361.5,252638271.5,419616916.5,338300279.166667,284662454.833333
,,,0.0,0.0
81349922.5,53772968.3333333,49725589.6666667,73606226.6666667,61863109.6666667
75200806.0,84590646.1666667,85981763.5,97433291.8333333,76295935.1666667
21251208.3333333,19339287.0,25549038.3333333,35321761.5,21857497.5
0.0,,14867664.0,0.0,16932200.0
1407397990.16667,982026025.166667,1604400128.83333,1489218293.0,1239091705.33333
304886108.5,229311802.0,344126133.166667,279426014.666667,294758648.166667
36488853.1666667,69343259.8333333,25884630.3333333,43851329.3333333,20946325.1666667
98191063.6666667,49553177.3333333,117814098.333333,91344298.6666667,143041802.333333
,,,0.0,
5612556.0,8995455.2,12077204.5,8347576.2,9446030.6
2416805687.83333,2015846009.0,2203687179.83333,2330071178.5,1933627727.5
1982341916.5,1110806765.0,1738916139.33333,1825271126.5,2032646229.0
488790218.166667,345217352.166667,399278673.666667,443137787.333333,398565035.666667
346767912.333333,279222246.333333,285120675.333333,257259692.666667,269007903.666667
69994903.0,62445824.3333333,68479522.5,80773582.5,53289403.3333333
69608195.0,92515271.5,106978684.5,120161185.166667,88610307.3333333
8561133.33333333,9878875.0,8547300.0,9468050.0,0.0
244680874.166667,225061034.166667,211040052.666667,247685577.333333,
1232419970.83333,1042376295.33333,1158563697.0,1308645381.16667,1078640706.66667
100067527.333333,81622640.8333333,123976078.333333,115613991.333333,96079503.0
641961341.333333,431066231.833333,638055951.5,629914443.5,574028700.0
32812380.5,32563536.6666667,41886267.3333333,55226427.6666667,40052362.1666667
14086807.6,11453651.0,9609551.0,4395072.0,10766522.1666667
5611187047.5,4172873313.16667,5011519577.83333,5034972948.0,5370313342.16667
1748771132.83333,1693403772.83333,1798522424.33333,1905810281.33333,1575909971.66667
25042353.1666667,16738609.0,28139270.6666667,17683572.0,22164564.3333333
27273184.5,19464105.5,25075120.3333333,29509795.5,30066922.8333333
0.0,56013151.5,2890095.0,90371046.5,
59952541.1666667,61454040.8333333,58879220.8333333,60111608.5,56707279.5
135086043.5,123636587.0,128094423.0,142474948.0,98997789.8333333
9661903.5,11069455.0,9039573.0,5255302.0,3966552.0
62827837.0,68096393.0,67249494.0,84918820.6666667,46234763.0
15700004.4,11394833.6666667,14851466.3333333,13737872.1666667,9097315.83333333
1498320.0,1282044.5,,,0.0
6882850.4,7614643.0,8314833.5,6357789.0,3827711.25
3856197253.5,3173711248.66667,3884242138.83333,4161815115.5,3738611031.33333
119777380.0,116824293.333333,134690859.666667,156892747.0,131429613.333333
25212366.6666667,18199234.1666667,21796764.5,27367205.4,26284384.3333333
1542031798.33333,1570013970.16667,1760677252.5,1320864651.33333,2333626180.5
0.0,0.0,0.0,11520149.0,0.0
878725411.166667,740624652.833333,970915497.333333,993924292.5,809138817.833333
1120427168.66667,889714494.0,1249712161.83333,1192300468.16667,1058234081.33333
124837881.833333,117065205.166667,168315672.5,154773872.666667,141450182.166667
44438537.0,37404981.1666667,49521134.1666667,44614709.6666667,30307147.6666667
9823456.0,6600661.0,56290583.5,3863992.0,6227310.33333333
,2644220.25,,28617973.2,4862066.0
18241692.0,18939876.25,20704878.8333333,18981309.2,16472401.6666667
13160148.25,,14811466.5,101095134.2,8491729.5
70320779.5,75258349.3333333,108121784.0,89769464.8333333,102447995.833333
11681326.0,8137891.5,18594844.0,,0.0
305478653.5,294237681.5,328640006.0,322627423.666667,290349334.166667
10080309.6666667,,14053057.75,0.0,8247515.0
31011264.5,102699774.333333,86211219.5,77332052.1666667,
0.0,0.0,,,3315889.0
176673333.333333,124453333.333333,185225000.0,206936666.666667,261213333.333333
,974435925.5,1096918404.5,1135434244.33333,785629535.0
29871173.8333333,78693939.1666667,34126750.3333333,52495607.0,25820967.5
175062629.5,127262253.666667,131933136.5,190726344.833333,177674427.166667
415704935.333333,443470635.166667,428293027.5,474839583.5,275219925.166667
18937139.3333333,17815357.2,22484049.5,22691962.8333333,20097268.3333333
27728121.0,24231691.3333333,33389398.0,26730487.3333333,22725457.6666667
4878542.0,,0.0,,0.0
30053535.1666667,25626827.6666667,35248252.3333333,31749260.0,28612948.3333333
58747860.8333333,48529109.3333333,65997621.0,54734355.0,37371863.0
437828592.666667,425366834.833333,491696724.333333,477404350.333333,
48973148.5,43257852.6,88605504.3333333,62596496.8333333,47398039.8333333
