PJ34,Olaparib,Talazoparib,Rucaparib,Niraparib,Veliparib
44257237.3333333,162318408.5,76096690.8333333,1061606442.0,1061606442.0,1061606442.0
12101594.4,7353536.0,9714189.4,11965537.0,11965537.0,11965537.0
,,,,,
,,,,,
7299442.0,7275480.0,7855236.33333333,79945106.0,,
,,,0.0,,
9356373.5,0.0,10926884.0,17162064.0,17162064.0,17162064.0
7095706.25,4524998.16666667,5831483.0,0.0,,
1284728275.83333,1311261795.0,1272260430.83333,1764280302.83333,1764280302.83333,1764280302.83333
1811049722.83333,1439786961.83333,1905019570.83333,2226484947.33333,2226484947.33333,2226484947.33333
16043432.5,6219153.0,7058094.8,17809544.0,17809544.0,17809544.0
17265678.8333333,18396370.8333333,13569895.3333333,26855880.2,26855880.2,26855880.2
101205411.833333,98025113.0,91284367.6666667,118916567.5,118916567.5,118916567.5
18524651.5,29346784.25,,33209892.2,33209892.2,33209892.2
9593173.5,3930593.25,8403894.5,9027693.33333333,9027693.33333333,9027693.33333333
12153145.6666667,9650726.33333333,11038009.4,15455976.6666667,15455976.6666667,15455976.6666667
15008538.0,11367154.6666667,14917953.1666667,26631850.5,26631850.5,26631850.5
,,5220489.5,9845701.0,9845701.0,9845701.0
21182083.6666667,20569927.25,18899001.1666667,32058590.3333333,32058590.3333333,32058590.3333333
184985034.0,223537775.333333,173418067.5,213460236.833333,213460236.833333,213460236.833333
,,,,,0.0
16104802.8333333,18874971.5,15517776.5,37171255.3333333,37171255.3333333,37171255.3333333
6667806.66666667,,7766082.2,,8069411.0,8069411.0
,,1582478.0,,,
9995438.66666667,7867405.75,7051711.16666667,13425447.0,13425447.0,13425447.0
383132436.5,397046670.0,347070800.0,507105124.5,507105124.5,507105124.5
18808087.6666667,20273705.1666667,12574548.1666667,23459980.0,23459980.0,23459980.0
,7740102.5,6164723.0,,,0.0
,0.0,5834726.0,0.0,0.0,
16672591.6666667,29229327.5,15487413.8333333,23876223.8333333,23876223.8333333,23876223.8333333
24099291.2,,21893325.5,27308268.3333333,27308268.3333333,27308268.3333333
12661894.0,14862729.1666667,12856147.8333333,20589591.0,20589591.0,20589591.0
540178296.0,,,586730388.0,,586730388.0
19912676.1666667,12974924.0,26862504.8333333,36851051.1666667,36851051.1666667,36851051.1666667
248170034.166667,212542347.666667,235697296.333333,338651562.0,338651562.0,338651562.0
352721679.833333,409007142.833333,282370258.833333,434653415.5,434653415.5,434653415.5
,4495965.5,5792338.16666667,9256178.0,9256178.0,9256178.0
11863445.1666667,9216907.33333333,16985866.8333333,11074024.0,11074024.0,11074024.0
16020893.6666667,13480287.1666667,20103208.0,22543982.8333333,22543982.8333333,22543982.8333333
6102722.0,2546923.5,5531027.33333333,12708949.3333333,12708949.3333333,12708949.3333333
,4644261.0,,,0.0,
,,9325712.0,,,
3849513.33333333,,3121552.0,,0.0,0.0
95195502.6666667,71177446.0,78923190.5,106936253.333333,106936253.333333,106936253.333333
1188655730.66667,1169586050.83333,1023437385.0,1481100827.5,1481100827.5,1481100827.5
8781659.0,7419523.33333333,12145096.75,12957633.2,12957633.2,12957633.2
66743634.3333333,85039847.6666667,70171051.8333333,83596039.0,83596039.0,83596039.0
,,,,,0.0
84049680.6666667,176767739.333333,97607962.0,101632244.166667,101632244.166667,101632244.166667
110001838.833333,149369165.833333,125333412.833333,193999844.666667,193999844.666667,193999844.666667
33713108.6666667,17915308.8333333,24460699.8333333,33185573.0,33185573.0,33185573.0
,0.0,,,,
38877690.8333333,47312924.6666667,43593333.8333333,52643148.8333333,52643148.8333333,52643148.8333333
10962751.3333333,6667262.66666667,17599517.8333333,10083374.0,10083374.0,10083374.0
316814139.833333,448705340.5,562921798.5,226844138.333333,226844138.333333,226844138.333333
6275510.0,4071932.5,5369532.0,0.0,0.0,0.0
924997614.0,876441407.833333,802672947.166667,1146032597.83333,1146032597.83333,1146032597.83333
,7142287.75,5742615.5,15126462.0,15126462.0,15126462.0
28131231.8333333,22070482.8333333,29040317.5,27223393.6,27223393.6,27223393.6
,27198665.0,,14909302.0,14909302.0,14909302.0
68644907.0,103185588.166667,81704401.6666667,91085118.5,91085118.5,91085118.5
40256600.1666667,58251395.0,40373125.3333333,64529265.8333333,64529265.8333333,64529265.8333333
,25158727.6666667,24648636.6666667,27006263.8,27006263.8,27006263.8
18549544.4,23903054.6666667,25213185.25,12464580.0,12464580.0,12464580.0
36526700.8333333,46178582.4,27232196.3333333,37284677.8333333,37284677.8333333,37284677.8333333
7218867.0,0.0,4169242.0,,,0.0
,,,,,
22295375.5,20487506.75,212275243.0,32949903.0,32949903.0,
,,3721892.0,2095443.0,,
25032702.6666667,19279325.1666667,15701664.3333333,27319367.3333333,27319367.3333333,27319367.3333333
6003311.33333333,,4911808.6,6145493.0,6145493.0,6145493.0
