Ixazomib,MG-132,Carfilzomib,Bortezomib
69690061.0,44257237.3333333,33305297.25,19124393.3333333
10222605.1666667,12101594.4,15010665.0,11851932.8333333
8016476.0,9705844.0,0.0,
,,0.0,
,7299442.0,8039443.5,
17491111.0,,,24500129.3333333
,,8521312.0,14390369.0
5468862.0,7095706.25,9804432.5,7398424.0
1453462582.33333,1284728275.83333,1487892611.66667,1148928796.33333
1900529087.16667,1811049722.83333,2024535713.0,1465681164.33333
14731541.0,16043432.5,19385997.3333333,23090905.0
16836161.5,17265678.8333333,14967010.8333333,13207470.6
104566636.666667,101205411.833333,107258174.5,65477307.0
24947581.0,18524651.5,,17051200.0
6321974.0,9593173.5,13486012.3333333,7470380.8
15076928.6666667,12153145.6666667,19674581.75,10543481.0
18136335.3333333,15008538.0,16327775.1666667,16603389.8333333
,,,
24903917.3333333,21182083.6666667,34274609.1666667,17338392.5
188230174.666667,184985034.0,215994828.0,135840031.666667
,,,
36365977.3333333,16104802.8333333,34146623.5,28180680.2
2769679.0,6667806.66666667,6887952.0,
9197689.0,3422283.0,,0.0
8906802.75,9995438.66666667,10742481.3333333,9466519.4
428566237.5,383132436.5,427049668.5,351743014.833333
18372977.3333333,18808087.6666667,18976838.5,15419373.8
,,3724554.0,
,5561117.66666667,,
17910153.5,16672591.6666667,27251139.5,27080532.6
19174667.3333333,24099291.2,,
16386028.25,12661894.0,14124420.0,9329761.83333333
,540178296.0,425093407.0,
23699097.5,19912676.1666667,23074260.3333333,19853522.0
261617467.5,248170034.166667,254623429.333333,214956576.0
353263592.0,352721679.833333,386715436.666667,247923063.5
7926957.33333333,,9295369.0,8055690.4
11976260.6666667,11863445.1666667,15898371.1666667,12048518.5
17910126.6666667,16020893.6666667,20352229.3333333,16024116.6666667
7129015.75,6102722.0,6289548.0,6429787.0
0.0,10693457.0,,7080117.0
3346378.0,2256687.0,0.0,
,3849513.33333333,13660622.0,6814897.0
89341611.3333333,95195502.6666667,99523508.3333333,74027796.5
1312649995.33333,1188655730.66667,1400820980.66667,1115088665.83333
12989948.8333333,8781659.0,13867601.0,9233841.16666667
72068479.1666667,66743634.3333333,74038747.6666667,58925584.5
,,,0.0
93775661.8333333,84049680.6666667,104634327.5,62989714.1666667
190266273.5,110001838.833333,132805883.333333,114428046.5
37794885.0,33713108.6666667,30454646.5,35884528.1666667
,,,
41800587.6666667,38877690.8333333,43515979.0,36014887.3333333
10244860.6666667,10962751.3333333,0.0,
198755917.166667,316814139.833333,345116787.5,174384613.0
,,4119813.0,0.0
980865709.166667,924997614.0,955357624.166667,858659672.666667
8326988.5,8550021.0,7141952.0,6421784.5
24293542.8333333,28131231.8333333,25748604.0,10946629.0
5796057.0,,,0.0
67483634.4,68644907.0,39442274.0,38206143.2
71161041.6666667,40256600.1666667,71359322.0,63931213.8333333
23825519.8,,5511710.0,13300489.0
17028925.6666667,18549544.4,16027001.3333333,4248351.5
34061427.3333333,36526700.8333333,31773504.5,32485410.6666667
,7218867.0,0.0,0.0
,,,
,,45577177.0,0.0
,,1917343.0,0.0
27828487.5,25032702.6666667,24069311.8333333,24076786.0
3847494.0,6003311.33333333,6737949.5,4526680.0
31505584.3333333,25130145.6666667,28410509.0,31721752.3333333
29056722.5,29536712.6666667,34696907.8333333,33701429.8
10629723.0,7334343.25,0.0,9983169.75
16020173.0,19400041.0,118150189.0,36972472.3333333
13685086.0,11202365.5,6925822.0,43597377.0
71528859.0,58648214.0,68977495.8333333,63478348.8333333
22042469.5,,,
0.0,,,0.0
12779388.0,14249791.8,14059711.1666667,10431672.1666667
,0.0,30930767.0,15318364.0
7934752.0,6733911.75,9892374.0,9195937.33333333
87845381.6666667,79546929.3333333,91412017.8333333,74252294.1666667
