Selisistat,SRT2104
33305297.25,162318408.5
15010665.0,7353536.0
0.0,
,
8039443.5,7275480.0
,
,
9804432.5,4524998.16666667
1487892611.66667,1311261795.0
2024535713.0,1439786961.83333
19385997.3333333,
14967010.8333333,18396370.8333333
107258174.5,98025113.0
,29346784.25
13486012.3333333,3930593.25
19674581.75,9650726.33333333
16327775.1666667,11367154.6666667
,
34274609.1666667,20569927.25
215994828.0,223537775.333333
,
34146623.5,18874971.5
6887952.0,
1716501.0,
10742481.3333333,7867405.75
427049668.5,397046670.0
18976838.5,20273705.1666667
,7740102.5
,
27251139.5,29229327.5
,28730187.0
14124420.0,14862729.1666667
,
23074260.3333333,12974924.0
254623429.333333,212542347.666667
386715436.666667,409007142.833333
9295369.0,4495965.5
15898371.1666667,9216907.33333333
20352229.3333333,
,2546923.5
,4644261.0
0.0,1482787.66666667
13660622.0,
99523508.3333333,71177446.0
1400820980.66667,1169586050.83333
13867601.0,7419523.33333333
74038747.6666667,85039847.6666667
,0.0
104634327.5,176767739.333333
132805883.333333,149369165.833333
30454646.5,17915308.8333333
,
43515979.0,47312924.6666667
0.0,6667262.66666667
345116787.5,448705340.5
4119813.0,4071932.5
955357624.166667,876441407.833333
7141952.0,7142287.75
25748604.0,22070482.8333333
,27198665.0
39442274.0,103185588.166667
71359322.0,58251395.0
,25158727.6666667
16027001.3333333,23903054.6666667
,46178582.4
,0.0
,
45577177.0,20487506.75
,
24069311.8333333,19279325.1666667
6737949.5,8011859.5
28410509.0,26074041.3333333
34696907.8333333,29212497.3333333
,24668821.6666667
118150189.0,0.0
6925822.0,0.0
68977495.8333333,65567627.6666667
16144510.0,22571254.5
,0.0
14059711.1666667,10090767.6666667
30930767.0,15058945.0
9892374.0,11732613.25
91412017.8333333,63322125.1666667
,11363756.0
,
54856887.1666667,61191148.8333333
4179713279.33333,3021325281.66667
6658916.0,5542674.66666667
54339177.1666667,20324024.4
0.0,32394911.0
166259123.833333,158956569.5
4312219.5,4440096.16666667
57719248.3333333,48789154.3333333
,
0.0,5160713.0
111847124.166667,41983622.8333333
,
,
64703100.8333333,24510055.6
23965925.3333333,
1204270305.0,1217998738.33333
17925105.8333333,9707354.66666667
572810007.833333,393458662.166667
,7604291.25
1036892021.0,1292795297.83333
1828187847.16667,1421057839.33333
1914176748.83333,2604760966.83333
21350748.6,26636609.75
401098388.666667,441904831.833333
94150498.6666667,73035618.6666667
2127876562.83333,1840842772.16667
338300279.166667,297810826.833333
0.0,10847552.75
73606226.6666667,40220208.5
97433291.8333333,81789954.6666667
35321761.5,25135439.2
,21680304.0
1489218293.0,1553736411.5
279426014.666667,287504829.5
43851329.3333333,43708986.6666667
91344298.6666667,270220111.333333
,
8347576.2,10557486.5
2330071178.5,1828274021.0
1825271126.5,2818282815.16667
443137787.333333,472784252.5
257259692.666667,354349475.666667
80773582.5,80924299.1666667
120161185.166667,70635910.8333333
9468050.0,5918850.0
247685577.333333,149472191.5
1308645381.16667,1480467026.0
115613991.333333,102018918.166667
629914443.5,622957483.666667
55226427.6666667,37427780.0
4395072.0,6714074.25
5034972948.0,6001562769.5
1905810281.33333,1619409760.66667
17683572.0,16253626.2
29509795.5,26310696.8333333
90371046.5,22214440.0
60111608.5,48186646.0
142474948.0,99144444.6666667
5255302.0,27786616.0
84918820.6666667,39825808.1666667
13737872.1666667,10908963.0
,1895874.0
6357789.0,5630300.83333333
4161815115.5,4649752639.66667
156892747.0,119497072.333333
27367205.4,22352043.8
