,Entinostat,Mocetinostat,Romidepsin,Tacedinaline,Tucidinostat,Domatinostat,Pracinostat,Quisinostat,Vorinostat,AR-42,Belinostat,Citarinostat,Fimepinostat,Ricolinostat,Panobinostat,Givinostat,Tasquinimod,Nexturastat A,ACY738,Tubastatin A,Trichostatin-A,PCI-34051,ACY775,Selisistat,SRT2104,AZD-6482,AZD-8186,Copanlisib,Dactolisib,BGT-226,Buparlisib,Alpelisib,Idelalisib,Apitolisib,GSK-1059615,Omipalisib,GSK-2636771,PF-04691502,TG-100-115,Pilaralisib,Voxtalisib,AZD-8055,Onatasertib,Everolimus,GDC-0349,Rapamycin,Temsirolimus,AZD-5438,SNS-032,Seliciclib,HMN-214,Alvocidib,Ribociclib,Rigosertib,Riviciclib,Palbociclib,PHA-793887,Milciclib,R-547,RGB-286638,Dinaciclib,Zotiraciclib,Cerdulatinib,Fostamatinib (Free Base),Fostamatinib,TAK-659,Abemaciclib,Brigatinib,Crizotinib,Dabrafenib,Dasatinib,Nintedanib,Sunitinib,Staurosporine,Tofacitinib,Decernotinib,Baricitinib,Binimetinib,Selumetinib,Ravoxertinib,Trametinib,Ulixertinib,AMG-900,MK-5108,MLN-8054,SNS-314,(+)-JQ-1,Bromosporine,Molibresib,Apabetalone,Geldanamycin,Tanespimycin,Paclitaxel,CHM-1,Nocodazole,Colchicine,GSK2879552,Iadademstat,Tranylcypromine,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat,5-Azacytidine,Decitabine,5-Fluoro-2'-deoxycytidine,Gemcitabine,Methotrexate,Actinomycin D,5-Fluorouracil,Pemetrexed,Cisplatin,Carboplatin,Oxaliplatin,Ixazomib,MG-132,Carfilzomib,Bortezomib,PJ34,Olaparib,Talazoparib,Rucaparib,Niraparib,Veliparib,Thalidomide,VHL ligand 1,Nutlin-3,Serdemetan,VH298,Iberdomide,Lenalidomide,Pomalidomide,Doxorubicin,Cyclophosphamide,Vincristine,Prednisone,CHDI00465983,CHDI00390576,TMP195,TMP269,NFAT activation inhibitor III,Cyclosporin A,LMK235
Entinostat,0.0,381.4854768238848,252.85449664090694,218.05724262029028,308.32241939879793,210.05655571352673,218.2778458242329,207.39910636317376,271.55912017566084,208.49563099510178,200.49490016500027,206.2882893513737,200.4118720249028,193.0823519139532,357.3569287677458,198.46492422960645,206.59135264925595,447.5902390152608,199.67363322321182,241.14557175450514,186.25309717328918,196.8465950684236,205.09534537569428,219.11487192747887,206.82362543120354,198.6394307930538,204.7047914007639,222.61645093812166,208.84868751214344,698.0380350376543,204.762029176778,361.9195141625945,198.67073932782432,209.5552850196347,356.5391813965046,206.69767623394208,217.5840355793898,208.8591851480963,206.05000553638772,203.5356504642964,197.14657519443486,338.9993369035852,236.01998940285577,199.86503070357037,198.42377275521693,206.85880028512915,206.56433971964623,1212.5119333508712,204.34285563825694,202.0594712932835,204.84059320209278,308.5521693169828,239.72202468643326,202.7162934717977,207.26686779264733,201.50822451448414,257.6030507686783,196.77979983185986,224.39982459445687,294.0348869538292,386.71161801826935,228.87094930126054,201.02568054172815,574.2964776089477,201.435992197347,275.0108931004347,812.3724495323954,200.2860245948224,241.33063837407454,198.55592156747102,214.16519208154858,241.75652012323874,208.7108358604648,223.15579443534114,206.18288398540227,196.00759549573806,253.80979459880078,194.8370558016179,335.21509430788757,197.80447312269374,203.12842735123817,200.0243244359829,624.3129344747896,212.40458441134766,196.07612255417953,604.3638233870676,301.1568252451389,229.6613082603247,215.27780959074252,198.05578018178858,205.25098171223954,209.86418729970006,211.18548629369872,200.31765968313312,294.8565002960342,200.53282049806128,417.6316860566952,191.25411056866145,213.3280099510712,199.86379425087733,316.3712027395014,197.5473876466747,194.9522415219033,236.241692567913,207.40147200903246,387.8201998132116,255.13664884006852,203.99109861660511,345.38397564790006,197.24068946502948,433.2716187723397,204.5883843458355,247.3891723232024,198.34800487872434,197.06140644743422,589.9918074921367,209.97152585508408,215.64620241720658,215.1567688449136,199.4689634890344,224.1571576952666,198.35781509245214,202.13574974022782,207.59603850893328,196.62222743765219,860.3543963488147,202.94989484033337,213.51997150000486,322.0725732640696,200.1548933813559,201.05075634168304,216.82255818044078,197.4539554577317,223.76070990489998,201.57118257322395,280.6220981696034,239.16381256957024,210.3395482043968,601.4147534996538,205.10785738009216,381.06877680021444,196.2154657172152,231.89205504477363,195.9414357678494
Mocetinostat,381.4854768238848,0.0,366.35985128979195,346.063569233825,408.2881752322851,341.864022070684,347.71999615393537,339.3673535446222,382.3364370592631,339.93609831642186,334.7518443371422,342.6180020609707,332.65398090196817,336.67099313706535,449.9841923725102,334.29744276639235,339.15411113771773,523.1430863223917,342.5263752818496,360.9110559690451,347.6651720681071,331.2014740118018,339.2750315425967,349.7977278792357,338.0986567358014,333.9157607630108,337.97304971978804,347.45897903439896,338.7953120581986,746.5734833192072,339.1535485046749,451.0276924610379,332.13684880599124,340.5173973966327,445.9316272255337,338.08625346046875,345.324555092168,340.20396904184395,338.23140684697256,336.9423447371716,331.90550588605527,431.3148966362101,358.49329047230833,335.2540596049112,333.22112853860153,338.1566408992968,337.90608195380173,1240.586559794462,333.13484332134976,334.675323757587,337.95530369932266,400.0805067211028,358.68980557356554,336.29359356850796,338.3896227533177,335.1360514464912,370.9503322778725,332.1282222616428,348.33902312828656,398.3120132614861,470.2762576298057,347.1609943715561,334.58668174858855,634.6763594308641,335.62778887696504,383.1356588376033,856.0573942536305,334.34700356712415,360.607444846807,334.7101360655456,344.0110875888665,361.57458562550283,337.52159281735544,348.55090725095687,338.59378011973223,331.7949682237835,369.0977896441022,334.7990728586621,418.59502437998856,334.02050510389034,337.18539772272567,333.331118991457,679.4110289562077,341.88820015402007,331.37629006806213,661.3569100080366,403.4627353808983,352.57121095415556,344.8589333099835,333.5682452734717,336.4219997418056,341.037079956649,341.6093133825283,335.02933735641903,398.2918906121991,335.41442816220444,496.2709110848673,334.35306016760734,340.4377205819107,334.37607919602493,412.99638124287696,332.76987044613844,331.4865100289199,357.2705607593134,338.56066581495315,463.4434657762936,368.902511244659,334.7014639014323,438.3516102582189,333.000827974886,509.52867947242714,338.25580104638163,363.1658685985031,334.45196077679833,331.66972153371285,646.2020419444312,340.3524276425618,349.1891021113737,344.0316657538461,334.294303872116,350.2936307706832,334.8532172615112,335.63382330340454,338.33713509071225,332.2090222697229,901.1752174140133,335.24110255319994,343.56123532909476,423.1020672514342,334.0959194693475,332.5314453634457,343.81837120853527,332.7887078489488,351.6125266956954,334.9927609177891,387.0077737504395,359.736873602931,341.5342599795735,658.750917065171,334.7964694154042,467.5683940724536,332.087476235276,354.0059929063337,332.22337577956256
Romidepsin,252.85449664090694,366.359851289792,0.0,196.73359508643105,294.00891002111905,187.91977277040533,196.16626526811154,182.51501730522713,254.56651127507166,186.89510223059693,172.82376612775403,187.45649459359115,171.20270448085262,177.19261754655318,346.92573570953044,173.1480137542084,181.69645720951476,430.62835226086105,188.30931572726934,229.93694297883488,193.99500823384898,170.94442491663872,180.90920047465238,200.6676686201203,182.65875289854884,174.02723581199598,179.6333304780829,192.93229551511823,183.11112470695096,680.091533352937,182.77756499523116,348.6681095695638,170.91989315496562,185.2598178947128,342.32183583689414,175.41590237518358,194.55737201395402,182.66836276279378,181.00188499398288,176.99498664261614,170.92389736775735,323.8416531209185,215.53812153887628,174.03828470136946,173.0880430610439,179.20750866714909,181.72197552212887,1204.6124359838177,173.40557958155858,176.55217317234573,178.94922001124374,285.566928511164,202.58702847071888,174.38989953110757,174.83387334812417,176.3795512431605,231.2433181696678,169.73436064912073,192.89499072878945,273.2762648363766,369.212386166552,181.36231827666546,171.57005123167374,554.4618392753974,176.63700720261716,256.9603220883227,807.761574440683,170.59834340186802,219.992357911959,172.24307813241055,189.6172898591951,220.17484373058278,181.3953389091599,197.06887523968828,181.54857973069014,169.3906139998623,233.24258697244554,173.1607119665623,316.77245138333694,169.3951470314855,178.30426796485634,171.45852264845,616.3124591024111,186.5351410382757,169.08664835959374,596.0050865711423,285.57608750032693,207.05927530240905,191.68940473430894,172.3248407670887,179.0039384495632,184.48194004263368,187.25588294361987,173.5399652198368,277.65207338097395,173.0177114400012,404.0898045799255,173.7223302459478,188.25895286770773,175.03515869473873,300.4485712486072,171.40951541447686,168.87318035472802,213.5268598733789,178.14297166894477,372.6317423161385,233.65697262548505,176.00228637919125,332.1141365905916,170.51822167644423,422.47802806365786,182.0630852550759,225.94262829237908,172.5022315609116,170.67857112055518,578.8734811157713,185.65956372588835,195.5148752397744,188.14358367615716,174.09575075018037,200.34067398291117,173.12188824818907,176.86162187368151,183.77108896180818,169.68807543272854,854.6576930379804,177.6477653450127,190.54245481967038,310.57654152570416,172.8649020588191,177.17790096969807,192.96032437515305,170.24575797996022,204.27463380313475,175.12946724997087,261.55808879636294,217.92188091254104,186.37623168557326,594.0038064057135,178.97876539094952,369.25318393498065,168.0637857362582,209.96617390848849,170.0197211420967
Tacedinaline,218.05724262029028,346.063569233825,196.73359508643105,0.0,260.7201623698678,142.25365571010687,151.87595430607152,132.0517181790598,220.5869571812912,140.7021275348328,124.19950022927256,142.7534878299707,122.0432994361182,125.85996975917178,324.1463112565034,111.46854322553001,132.45714086369185,420.53574356180144,142.11080364144726,192.59058122463333,152.17122846298503,118.98064024698373,134.43438094283297,157.0340411460393,132.97918027506626,120.18115475877048,129.45617715340262,158.50585743394785,131.9071558561201,680.9103916288594,137.56224615913234,326.07938046797517,117.4411076260378,137.92127134362454,319.2074145748107,133.72012537646805,147.25944760068904,136.8203292770571,131.35687228958307,125.2144490415339,118.62782904121752,299.98469002342745,152.84234534323073,123.12350538141446,119.21558573416695,132.33190444614232,132.27064293350284,1202.0021047803416,112.67579678565438,122.2760608438955,129.91995074559196,263.2775360185887,181.22034860268758,127.86014779437745,133.3375740897681,126.84169310466555,203.75982126056408,114.07620354585137,158.25440455575585,249.16124194464422,353.19732924057786,168.14910870503917,119.92484853459148,552.3851534958872,126.17419032461906,224.861418228761,798.3382358733448,121.14155528929818,182.81289224776583,120.33075959822406,144.87151547847517,182.3648410121729,102.5804378412086,157.2216712695442,132.6504274799737,114.87823604783702,197.83039796922395,119.91784665252897,293.423882796658,118.02116136465675,127.23308399952397,106.45740008326332,603.6833250787487,140.15538798156837,111.15754572499746,582.1951778404958,255.51995292710302,163.55336253126163,147.42015297849426,102.314487240619,127.3926626977051,138.3651526369475,139.4832923996067,123.01497173441936,248.00661902185615,115.52470409603038,386.49887567264574,118.82972823400387,140.15721037160037,122.54221388624336,273.87375073069586,114.77836411385384,111.98324538879189,174.3938978132124,132.5779519664291,352.7909868633035,199.28690814476133,126.4525264245483,306.0914642222113,117.08462597893377,403.8232919711594,132.23160442510127,189.68159668971148,118.85980856644939,116.77789534158372,567.8300891744049,137.09826277543692,156.72795935346605,146.8967867181792,121.52515327271524,158.5590046202262,121.24141300035988,123.62840651967129,131.65291451220597,112.46855711442633,845.6335060381634,128.03426295252018,144.10699569644535,285.31675485338303,122.4620659933794,126.28984626009824,115.74846221640911,116.19361919637583,166.15824880768454,122.3139124925504,233.04477965049577,180.60277261286214,139.51907809461352,580.9678945853725,127.28410563923029,347.6874531396395,114.07472536265361,165.38041611649513,116.0837449702749
Tucidinostat,308.32241939879793,408.2881752322851,294.00891002111905,260.7201623698678,0.0,260.1367848416437,265.79105884048056,255.63016179213204,310.57447064329654,257.756397783834,248.42760031128617,260.82903623477085,249.54933836739662,252.0278880819325,390.0505038246221,246.87353127931414,255.07790579355452,473.6119702143302,259.84671123224695,288.70846209998945,265.52087434624366,248.35296554958174,256.35451794000915,269.0017997498577,255.70508815975273,249.86500411319037,253.8721470341112,269.5623196556869,252.05349566489843,705.2187788613682,258.70609028637585,391.70633072414154,248.2521772527225,258.0997986608999,387.56139649131393,255.70206374818883,264.4122868199125,257.6284062868155,254.6256796639931,252.76449982849746,247.8970768713129,369.52478833317275,275.3560579315741,250.51033588399858,248.71903293272447,255.1662823902447,253.75509888161898,1221.661772846008,249.83930354342897,250.5562645642746,253.63706321324182,331.2892672931308,283.26787355679653,252.5658752297858,255.86260150838186,252.19694875808526,296.75825552471076,246.60349849890304,270.62685558865786,330.8684709397732,414.67766919446257,274.6601837437632,250.37287781469652,594.2449920036362,246.75420547877326,312.23617353420684,827.5733131245167,249.63254492335489,284.1199620960743,249.46125974143004,260.9023685553962,274.61072943480355,251.20862731772215,268.6881725676704,255.27669212494925,246.75796742143575,294.7599018792027,248.90258484553587,366.6512223144766,248.55656399512884,252.67200581773784,245.85083913483635,640.0342183069409,258.7173276238487,245.62369236317625,621.857999295557,337.1521574155696,273.23539707039504,260.9784690352534,245.83027511289302,252.96456758822114,257.6517136378718,259.3924292700875,247.92940847189914,329.8566656181408,249.7896820348033,440.39129359256265,248.5520117779854,260.02282486778665,250.54902175945293,349.9823157319533,247.39955958218513,245.0822498458937,279.7697577397021,255.67773171104997,416.2509319784495,294.7225223212751,252.9480828474987,376.5065273537825,247.88165041793377,459.01438041277135,254.41298695090245,289.10224907422446,248.6117330056157,240.8525328845672,608.5905167750778,258.4135512972225,269.8589499591163,262.3846576928163,249.51545116787543,270.0800732792381,249.46397113111132,251.80704339156893,255.81055932765756,246.41925615045855,873.2890658057426,253.10577618041546,259.93961916528565,359.46897996902925,250.07229332451402,242.60918067589014,257.4084461925314,246.65433055158132,273.817085514714,251.08079284330702,318.79947393719607,283.42959665914833,258.62918696054635,588.123580227846,252.50382709123693,409.51372313157526,245.7543106753067,275.2479518511428,246.06234379269455
Domatinostat,210.05655571352673,341.864022070684,187.91977277040533,142.25365571010687,260.1367848416437,0.0,142.77871835918643,120.96705343778848,216.19609993184525,123.34320575136424,109.95864575583158,131.41271852780844,110.24602206395387,113.44350990103716,318.3110130696845,108.14364715341789,122.62335735169644,416.1127539544258,132.07026472021101,183.08845598302295,140.37204036592038,101.27317782512232,117.22668129895123,147.24663895030355,117.46098461168226,109.57965809521296,111.32496548914628,143.90297285869275,125.20444554984097,676.9441503071524,126.97309893206733,320.1677098093279,107.3721789877016,120.61206533736623,313.6483109979952,113.15400893494737,141.39329207861383,124.78980404647005,117.22125589802492,117.06679836774987,101.50784864487612,293.05214715961915,170.51689243414646,103.92275848181067,108.70484190945908,120.552625702894,122.64196669505131,1200.4563695426725,116.68778407497662,115.67306412146853,114.18194163592543,256.39045535891887,169.00229128684063,111.1984722914542,119.42469836070029,109.2947327905552,195.45460042318786,104.53906901064727,149.2715126957661,241.0213511630764,349.077297802536,150.53562823544627,113.53158236790762,549.525027297037,113.69300655304856,215.0160762768593,796.3495362576333,109.51884360605074,174.69965767090173,103.45247116064483,130.41753702038974,173.92959774523865,125.68535135075342,142.89858827764525,119.40507041389581,100.22417302247554,189.79636306016684,109.6804941949931,289.1698943179781,105.91849030842282,113.73560327474108,110.04661432206973,601.2089332250436,130.6241439765296,104.7887150460347,580.4691269289841,250.09811440375495,159.13923676700023,134.68095873836697,108.98001431606122,120.4720166586066,125.9979897819889,127.56234023519127,109.84445760607015,242.93275162737743,110.87138687613921,381.5264353880985,108.76612853118353,130.99423776809076,104.7791435164492,267.3213146170028,107.0255784440953,101.36878899230318,166.84192970617013,122.11860363369141,349.07129029551595,192.79597673264055,117.96698918263276,303.2839917538514,102.34252202989562,399.3723275083573,113.15125964068896,181.46295429066552,107.82069956608487,104.44351111687008,563.3452782858279,124.31429144973153,147.1600161692028,133.2747743218679,104.81009743741753,143.26261056185567,103.9609817092626,115.72485358918308,125.08967133241255,104.72707592913925,843.7171568572306,112.3107933958926,129.79059834056818,280.3212643714713,107.82449794878558,112.33776546855738,139.48406042567134,105.2774188123543,154.48948312886137,110.87310856603669,224.4461921525704,169.94119852061505,119.38060345458709,576.8192466566506,118.51397450372502,343.7460166112113,102.00462034336167,163.27149249251457,102.53130223495255
Pracinostat,218.2778458242329,347.71999615393537,196.16626526811154,151.87595430607152,265.79105884048056,142.77871835918643,0.0,132.93493009982328,219.23124093465594,132.14571534211865,115.77303141198304,140.29246010513162,119.62152095090039,122.25460850811805,322.05806084306016,116.6452905024229,134.84497392022968,419.4825837421544,139.23168444331816,191.88558879395333,146.8734543781952,119.34749655565167,134.94084035220277,157.83338538329295,134.81462910539304,122.06377982032963,130.00631127054834,158.07964974252954,135.29401649190925,680.1620719518216,140.3689735548277,326.54149697233487,119.63279547693618,138.17683960520458,319.51575457153604,134.11780902286924,149.00825546423877,137.24291058659108,132.2923684356188,128.76766628318654,118.93442379023473,300.42452419318266,178.08709912133327,123.34929495930366,121.43488279115303,131.0743912106747,134.231237886038,1201.8063427140057,128.96337840882407,125.48902119178518,122.24300720890314,265.37134974415983,180.41336803216007,127.72603423545958,132.62170743476457,127.18350837156746,203.3386123170816,116.81755972803714,159.97207845305877,223.84855610467608,351.95836144597195,166.77550419084025,122.97372251996916,549.1014734370714,126.05982728292979,225.4808418238133,797.666866526529,120.9237754026906,181.62111266208407,120.49298918521905,144.42569578896058,183.52843731690814,135.90645097366345,157.0497960229325,131.7383518872597,116.13657950734991,198.3864645215299,121.92231985835326,295.8866040036044,117.81175744817266,127.6631330590836,122.00889201308999,603.5046741097054,139.28249331450198,116.45726502646603,583.5466935489113,257.5134852470249,165.29447542514944,135.07094471238557,119.8994470323674,130.28852074820801,136.6166130990293,140.9333682157688,122.76908296952311,248.38869146082897,124.42829137194323,382.442907206938,120.33739176162261,143.04521915592343,122.54954263051822,272.90437789571195,118.82745780324632,113.93715084213257,174.73523843950386,131.4006898522581,354.78661444889474,200.26849745632543,128.8703722237781,308.30522943974137,118.09518254654502,402.75099020505195,132.4218848160537,188.68796730091336,120.59080350513362,115.49601259907398,568.8039596293975,138.15107621299268,158.26442108979631,146.84161090311486,121.16137147130031,158.61963124607834,121.66553639573029,127.515578979728,134.8757245439279,116.97338362719042,845.6694153237111,128.15974083006384,144.76442582751147,285.8013919558973,122.94929125287274,125.54868533537284,147.3757744284802,116.81758214651427,165.81711087713538,125.38891387373536,232.46216690062985,181.64751927866436,138.45568986352347,580.8959795510627,130.62349432731193,349.2748625555837,113.36896596574461,170.30848274813587,110.67600197109445
Quisinostat,207.39910636317376,339.3673535446222,182.51501730522713,132.0517181790598,255.63016179213204,120.96705343778848,132.93493009982328,0.0,209.3396547511923,118.22483479466378,100.0709668646721,124.17118421502903,99.05348046577383,103.62901613137518,317.1962012192472,98.47094786009836,103.63549844998225,412.4573350040561,123.15525590328271,176.70578508561732,135.11831350078245,86.60029668774695,108.61131261582287,137.9943894046229,106.16282394418835,93.22662667466498,101.36386132369005,136.66304589778105,106.42778670691077,676.0594245617352,108.19808339443797,314.3838163137032,89.76958608823453,113.06460906820975,309.322005101799,107.14762986983473,128.69149002916103,108.84243166575283,102.09228865962281,102.14341848055518,86.24327316758111,289.50271914092843,160.90881721569662,94.85634978338864,92.77127441856831,107.03556703304608,108.06125338774152,1199.8353981163075,103.60400907017772,99.09181842461182,100.00326090395325,253.58713853289166,161.87715197506398,100.19750979882863,110.54544492566566,99.69306096270675,188.31079050721274,87.9475996182481,140.32213006969988,235.43472569201393,345.32307845624615,147.37174858201428,97.70317297167206,546.7694536141361,99.8333635460304,210.54509192248244,794.5223425480492,94.02893229824255,165.28357534140363,89.91591863052756,120.20510646468931,165.65610314865842,112.38560329351506,134.26946730699936,106.33483087034973,81.062333454253,181.86782473434207,92.60739641045677,284.321312574117,89.68730194379668,98.37574686106646,94.76374166701206,598.5800320659762,117.19797346982465,86.4031030887147,577.4440487664482,243.1094111308115,148.73317233859436,125.30050177939566,91.5736259335707,105.55730471678157,115.03876478294664,113.06649287921216,96.71176269102413,236.79347475406593,99.1777963343986,378.7160547604137,91.53578498153702,114.0718444929624,93.1796702121803,261.25531003046274,87.64529508161917,81.77022763843695,156.70522758067366,110.25608757214133,345.38665852408985,184.49784056541006,103.39345802664143,299.95965929292066,82.95522436484258,395.58969817864704,104.56727312176277,168.93675372219423,92.93044553781134,87.92094666268302,562.953125866003,110.72157546034941,138.5931937774305,124.46827590449392,87.62308918947652,137.50492107518713,90.77058204981692,100.3125073204829,110.13209029606048,86.80152904049446,842.038053782722,99.12631307723167,118.95898327011187,275.38430949479897,91.53964364374423,97.66274559649894,125.8204409438886,87.78742615311634,147.07047524898525,92.70436211545695,219.13440744642153,160.65640752823023,113.43461884876513,575.164969279508,103.56936082012133,339.7153817981603,82.7932637757024,152.1165644680149,91.68787372302336
Vorinostat,271.55912017566084,382.3364370592631,254.56651127507166,220.5869571812912,310.57447064329654,216.19609993184525,219.23124093465594,209.3396547511923,0.0,211.71416681772646,201.17022676412952,214.37175519312336,200.81615364860497,202.25052208378335,360.17234787524586,196.8461737327494,208.70804710056635,450.4492534043232,210.9320745058496,251.99503212251847,218.00504126369134,201.44979248198027,210.78451029643196,225.29669540245933,209.57052877173174,202.0201641750726,207.1176488454282,226.16026149922953,210.85226731373012,700.3482290298621,213.48158861957864,363.9379371103553,199.90161961847897,213.2720315094925,356.68255180257796,207.8467457634773,155.4732147694528,211.52467108917526,207.90351845713585,205.49534939325983,201.00511308534428,341.4124495138383,238.35952325186213,204.13024269019022,200.72670516827753,208.81621836921514,208.23407759017314,1213.022138824587,205.86919060039287,202.52902711787854,207.29863350689197,311.42982472348274,243.80357474447288,206.56116694993838,209.5931799162777,205.4069724090908,260.26958599030564,198.32159427738804,227.15973174220673,297.32074760944823,387.2119160110152,233.693545469961,201.26974262263647,575.1812393929407,205.02778501013913,276.8681529989797,814.633441726841,202.17829519460795,243.45535416630008,201.6654913057833,217.25081455599818,244.84538849262825,209.308393079482,225.7546634379194,206.82554978084613,198.20664709406904,254.99273287616518,201.23780852848296,337.47889367992065,200.7454074520931,205.7068890338363,201.80231640060268,624.9697992361394,213.8631517945497,196.75405569455964,601.0911179646544,303.5350919637726,229.23299625562305,217.02509876263434,199.0709028101325,205.1074623632886,212.53149747779915,214.68130164626317,202.94939084249637,295.79016687758707,202.99747409019687,419.3871866466727,201.16736317340337,215.1069222225025,203.3375646045816,318.050945381629,198.12886732586963,196.749547212184,237.9724579229251,209.25483047725245,389.857581665451,256.9175165214757,205.4652531740652,346.1519469114955,199.54024146681604,434.85312472841866,209.49409817454531,248.97100032092212,201.20522794715677,198.70496958329758,591.0806053733107,212.73572373551008,226.19741607834285,218.27612143950472,201.92414500251812,227.5583300663174,202.3180915364808,203.72790814664316,159.65083267577654,196.54509238745817,861.0797799532355,206.73124318562793,216.60564885125953,327.53045318542604,199.7255682267445,204.41750508824242,217.1243723402534,199.45199418414734,229.30147704218706,204.36242344768576,281.20310763525924,242.20262588936941,213.64184602167813,602.658175752324,206.64278990654083,383.99035657416704,197.79901440616575,233.2916296489739,196.22188665115235
AR-42,208.49563099510178,339.93609831642186,186.89510223059693,140.7021275348328,257.756397783834,123.34320575136424,132.14571534211865,118.22483479466378,211.71416681772646,0.0,97.92580503929452,123.34981487187898,99.95938171444826,103.70885197623483,312.62640950722647,92.4354342302789,119.56789079069625,413.6656701474582,121.55242838753182,180.5125310420926,127.7159909889101,93.83973099625075,111.74757068150473,146.84075306069124,116.55820735720839,106.70247850745648,111.68642808481964,143.40110957047182,121.83227537576485,676.5806349663347,126.54659098556039,319.682598010712,102.47304945356156,121.64404125363441,311.71952555916346,114.22623836357339,140.17596141820403,121.95919878616272,115.24914438783779,114.63601957442813,96.29500861688473,291.55615434507814,169.16977458013892,103.67525216351804,106.26755771810507,118.05729710652825,119.16533445753842,1200.3066641125206,111.53639923275874,114.4821188999633,112.81780822803543,249.22632499045793,167.3381485518977,103.4261098452313,119.53420756026804,108.72212557536164,192.98809851880887,101.10244254083366,148.54761913245943,239.602941729185,346.3563610659626,147.10585849871813,112.05753980101785,549.2201012760196,108.5350780501987,215.01836447803313,795.9984632579205,107.33459834199675,173.162080899964,98.43107651655389,125.30679740093353,171.5103148993213,123.2700429486017,143.31968293795,116.82595450426521,97.23697458833746,188.31778638568468,106.70139836856968,279.53933433233834,103.83389302059149,111.1402392739871,105.626123785564,599.4308309622203,128.13532646482935,103.54270181105773,580.1386551893569,249.6891375719288,154.93798558612457,129.4076991615517,105.66312221013378,117.66554475207481,123.15676832051342,124.85701688810646,107.70163599775161,241.0659189294555,110.31403027973755,380.83910892882926,105.56274084650954,126.78526110155536,104.36092013183224,265.5393643240207,105.33368263191157,97.72232717076149,164.729741659349,120.27822915903073,341.8025784832998,190.6556644125629,114.92991030010984,302.8084895395646,98.38396899230598,397.7635059532925,114.21203140149315,179.8933049974843,104.2166516085357,100.64170708227905,564.2240097573698,123.35955185404526,144.3473318851655,130.89294004716146,104.66643125682754,144.03010492143468,98.9644950038393,114.92909508585856,123.7866381558592,103.50554595435636,843.5851596312093,106.82365002569179,121.47310680616565,278.98316128337996,103.7985098366768,109.95946819318522,137.82556039576198,103.46849167226719,152.14785465896813,103.25400323395684,221.6504252169705,168.78365507400076,121.97712631612328,576.281010423954,114.04263861974988,342.9110146017952,100.19977217901979,160.72743133860797,88.85115580314174
